
;32d;34a;d3bc;
22;317;337;ded8;
21;320;33a;e47c;
1f;322;33d;ea20;
1e;324;33f;efc4;
1c;326;340;f56c;
1b;32a;341;fb10;
1a;329;344;b4;
19;32c;347;5b0;
19;32d;346;b00;
19;331;349;1050;
19;332;34b;15f4;
19;331;34b;1b98;
19;335;34d;2140;
19;336;34f;26e4;
1b;334;351;2c88;
1c;335;354;322c;
1c;334;353;37d4;
1e;334;356;3d78;
1f;333;353;431c;
21;336;355;48c0;
23;330;357;4e68;
24;333;356;5410;
26;335;359;59b0;
2a;332;35b;5f54;
2c;333;359;64fc;
2f;334;35b;6aa0;
32;334;35c;7044;
35;333;35b;75e8;
38;335;35b;7b90;
3d;333;35b;8134;
40;333;35d;86d8;
42;336;35c;8c7c;
48;333;35e;9224;
4c;331;35a;97c8;
4f;332;35d;9d6c;
54;331;35d;a310;
58;333;35d;a8b8;
5c;331;35a;ae5c;
61;32d;35d;b408;
65;32f;35d;b9a4;
69;32e;35f;bf4c;
6e;32c;35e;c4f0;
72;32b;35e;ca94;
78;32b;35e;d038;
7d;32b;35e;d5e0;
80;326;35e;db84;
85;325;35b;e128;
8b;322;35c;e6cc;
8e;325;359;ec74;
92;320;357;f218;
97;31d;35b;f7bc;
9c;31d;358;fd60;
a1;31c;355;308;
a4;319;356;858;
a9;319;356;da8;
ac;317;352;12f8;
b1;315;352;189c;
b5;315;352;1e40;
b8;315;34f;23e4;
bd;314;34f;298c;
c0;315;34d;2f30;
c4;313;34b;34d4;
c7;314;348;3a78;
c9;313;347;4020;
cd;316;344;45c4;
d0;313;347;4b68;
d3;318;343;510c;
d5;317;341;56b4;
d7;315;340;5c58;
da;314;33c;61fc;
db;314;33b;67a0;
dd;312;338;6d48;
de;315;338;72ec;
e0;316;337;7890;
e1;316;333;7e34;
e4;315;331;83dc;
e3;313;32d;8980;
e3;30f;32d;8f24;
e6;30f;32a;94c8;
e5;30f;328;9a70;
e6;310;32a;a018;
e5;30b;327;a5b8;
e4;30d;325;ab5c;
e3;30b;321;b104;
e3;30c;31f;b6a8;
e2;30c;31c;bc4c;
e0;30b;31b;c1f0;
df;30a;31c;c798;
dd;30a;318;cd3c;
db;30b;31a;d2e0;
d9;308;31a;d884;
d7;30a;316;de2c;
d4;30a;317;e3d0;
d2;30d;315;e974;
cf;309;313;ef18;
cc;309;315;f4c0;
ca;30b;313;fa64;
c5;309;315;10;
c3;309;314;504;
c0;30c;317;a54;
bc;308;314;fa4;
b9;30c;315;14f4;
b6;309;315;1a98;
b1;309;316;203c;
ad;30a;316;25e4;
a9;307;315;2b88;
a4;30b;314;312c;
a0;30a;315;36d0;
9c;308;316;3c78;
97;309;315;421c;
93;30c;315;47c0;
8e;30b;316;4d64;
89;30f;314;530c;
85;307;315;58b0;
81;307;317;5e54;
7b;307;316;63f8;
76;308;314;69a0;
72;309;316;6f44;
6e;309;316;74e8;
69;30a;315;7a8c;
65;309;318;8034;
60;308;318;85d8;
5c;309;31b;8b7c;
57;30b;31c;9120;
54;309;31e;96c8;
4f;30a;31f;9c6c;
4b;30c;321;a210;
48;309;324;a7b4;
43;30a;321;ad5c;
3f;30c;327;b300;
3c;30a;328;b8a4;
39;30d;328;be48;
35;30c;32b;c3f0;
32;30f;32d;c994;
2f;314;331;cf38;
2c;313;331;d4dc;
29;312;333;da84;
27;319;335;e028;
25;318;335;e5cc;
23;31b;336;eb70;
20;31e;33b;f118;
20;320;33c;f6bc;
1e;324;33e;fc60;
1c;326;341;204;
1b;32a;344;754;
1b;32a;343;ca4;
19;32b;345;11f4;
19;32c;348;179c;
19;32f;349;1d40;
18;330;348;22e4;
19;332;34d;2888;
1a;335;34e;2e30;
1a;332;34b;33d4;
1a;334;34f;3978;
1c;334;353;3f1c;
1c;335;352;44c4;
1e;334;356;4a68;
1f;336;355;5014;
21;337;355;55b0;
23;334;357;5b58;
25;332;358;60fc;
27;335;359;66a0;
2a;333;35b;6c44;
2d;334;35b;71ec;
30;334;35b;7790;
32;335;35c;7d34;
36;334;35e;82d8;
39;334;35b;8880;
3c;332;35e;8e24;
40;333;360;93c8;
43;333;35f;996c;
48;335;35e;9f14;
4c;331;35d;a4b8;
4f;332;360;aa5c;
54;330;35e;b008;
58;332;35e;b5a8;
5c;32f;35f;bb4c;
61;330;35f;c0f0;
66;32d;35d;c694;
69;32f;360;cc3c;
6d;32c;35e;d1e0;
72;32b;360;d784;
78;32e;35c;dd28;
7c;329;360;e2d0;
80;329;35d;e874;
85;326;35d;ee18;
8a;323;35e;f3bc;
8e;322;359;f964;
92;31f;35c;ff08;
97;31e;35a;4ac;
9b;31d;359;9fc;
a0;31e;358;f4c;
a4;31a;356;149c;
a8;317;358;1a40;
ad;318;355;1fe8;
b1;317;353;258c;
b5;312;353;2b30;
b9;312;351;30d4;
bc;313;34d;367c;
c0;315;34d;3c20;
c3;316;34c;41c4;
c6;313;34a;4768;
cb;317;34b;4d10;
cc;316;346;52b4;
d0;313;345;5858;
d2;315;341;5dfc;
d5;315;344;63a4;
d7;315;340;6948;
da;313;33c;6eec;
db;317;33b;7490;
dd;316;339;7a38;
df;313;335;7fdc;
e0;314;333;8580;
e2;311;334;8b24;
e2;311;330;90cc;
e3;312;32d;9670;
e4;313;32d;9c1c;
e5;30d;32a;a1b8;
e5;30f;327;a760;
e5;310;326;ad04;
e4;30e;324;b2a8;
e5;30c;321;b84c;
e3;30b;321;bdf4;
e3;30a;31e;c398;
e1;30b;31d;c93c;
e0;30c;31a;cee0;
df;30a;31a;d488;
dc;309;318;da2c;
dc;309;319;dfd0;
da;30c;318;e574;
d7;30a;315;eb1c;
d5;309;315;f0c0;
d2;30b;314;f664;
cf;30b;316;fc10;
cc;309;315;1b0;
ca;309;313;700;
c7;308;314;c50;
c3;309;313;11a0;
c0;30a;314;1744;
bc;307;310;1ce8;
b8;30a;315;228c;
b5;30a;313;2834;
b1;307;314;2dd8;
ad;308;315;337c;
a8;307;314;3920;
a5;309;315;3ec8;
a0;306;317;446c;
9c;308;316;4a10;
96;308;314;4fb4;
92;308;315;555c;
8e;307;316;5b00;
89;309;315;60a4;
84;30a;317;6648;
80;309;317;6bf0;
7b;308;315;7194;
76;308;316;7738;
72;308;317;7cdc;
6d;308;318;8284;
69;30a;318;8828;
65;307;318;8dcc;
60;309;319;9370;
5b;305;31b;9918;
58;30b;31d;9ebc;
52;30a;31b;a460;
4f;308;31f;aa04;
4c;30b;320;afac;
47;30c;322;b550;
43;309;326;baf4;
40;30b;326;c098;
3c;30c;328;c640;
39;30c;32a;cbe4;
36;310;32e;d188;
31;310;32d;d72c;
2f;311;32e;dcd4;
2c;313;332;e278;
29;318;334;e820;
27;318;336;edc0;
25;318;336;f368;
23;31d;339;f90c;
20;31e;337;feb0;
1f;321;33d;454;
1d;324;33f;9a4;
1c;326;340;ef4;
1a;329;341;1444;
1a;327;344;19ec;
19;329;345;1f90;
19;32d;349;2534;
19;334;349;2ad8;
19;32d;34b;3080;
19;332;34b;3624;
19;334;34d;3bc8;
1a;332;350;416c;
19;332;350;4714;
1b;336;353;4cb8;
1b;337;356;525c;
1d;339;351;5808;
1f;334;356;5da8;
22;334;357;634c;
23;333;359;68f0;
25;335;359;6e94;
28;333;35d;743c;
2a;334;35c;79e0;
2b;332;35d;7f84;
2f;333;35b;8528;
33;333;35c;8ad0;
36;333;35d;9074;
39;334;35d;9618;
3d;333;360;9bbc;
3f;334;35f;a164;
44;334;361;a708;
48;331;360;acac;
4c;331;35f;b250;
50;334;35d;b7f8;
54;331;35f;bd9c;
58;332;360;c340;
5c;334;35e;c8e4;
61;331;35f;ce8c;
65;330;35e;d430;
6b;32b;361;d9d4;
6e;32d;35d;df78;
73;32c;35f;e520;
78;328;35d;eac4;
7c;329;362;f068;
81;32a;35e;f60c;
85;325;35d;fbb4;
8a;323;35c;158;
8e;321;35c;6a8;
92;323;35c;bf8;
98;31e;35a;1148;
9b;31e;357;16ec;
a0;31c;356;1c90;
a3;31a;358;2238;
a8;318;353;27dc;
ad;317;359;2d80;
b2;315;354;3324;
b5;314;354;38cc;
b9;313;352;3e70;
bd;316;34f;441c;
c0;313;34f;49b8;
c4;315;34d;4f60;
c7;312;34b;5504;
ca;314;348;5aa8;
ce;313;347;604c;
d0;315;344;65f4;
d3;314;341;6b98;
d6;316;342;713c;
d8;314;340;76e0;
da;314;33c;7c88;
dc;314;339;822c;
dd;312;338;87d0;
df;313;335;8d74;
e0;312;32f;931c;
e1;312;334;98c0;
e3;312;330;9e64;
e4;30f;32e;a410;
e4;310;32c;a9b0;
e4;313;328;af54;
e5;310;328;b4f8;
e6;312;325;ba9c;
e5;30f;323;c044;
e4;30f;323;c5e8;
e4;30f;31f;cb8c;
e3;310;31e;d130;
e2;30b;31c;d6d8;
e0;30c;31c;dc7c;
de;307;316;e220;
de;30b;319;e7c4;
dc;30b;317;ed6c;
da;30b;316;f310;
d8;30a;317;f8b4;
d5;308;315;fe58;
d1;30a;314;400;
ce;308;314;950;
cc;309;313;ea0;
c9;30a;313;13f0;
c7;305;314;1994;
c3;308;314;1f38;
be;308;312;24dc;
bc;308;314;2a84;
b9;30a;315;3028;
b4;309;315;35cc;
b1;30a;317;3b70;
ad;30a;315;4118;
a8;30a;314;46bc;
a4;30a;315;4c60;
a0;308;314;5204;
9b;309;315;57ac;
97;309;316;5d50;
93;309;314;62f4;
8e;30c;313;6898;
88;309;315;6e40;
85;30a;315;73e4;
7f;30b;318;7988;
7b;306;316;7f2c;
76;308;317;84d4;
71;307;315;8a78;
6e;307;319;9020;
69;308;318;95c0;
64;30b;319;9b68;
60;309;31a;a10c;
5b;308;31c;a6b0;
57;30a;31b;ac54;
53;309;31c;b1fc;
4f;30b;320;b7a0;
4b;30a;321;bd44;
46;30b;322;c2e8;
44;30b;325;c890;
3f;30a;326;ce34;
3b;30e;327;d3d8;
38;30b;329;d97c;
35;30e;32b;df24;
31;30e;330;e4c8;
2f;310;32f;ea6c;
2b;314;334;f018;
29;314;335;f5b8;
28;318;335;fb5c;
25;31c;335;100;
23;31b;339;650;
21;31f;33b;ba0;
1f;322;33b;10f0;
1e;322;33e;1694;
1c;325;341;1c3c;
1b;32a;343;21e0;
1b;329;343;2784;
1a;32c;347;2d28;
18;32d;347;32d0;
19;330;34c;3874;
19;331;34c;3e18;
18;32f;34e;43bc;
1a;332;34e;4964;
1a;332;350;4f08;
1a;334;351;54ac;
1b;333;354;5a50;
1d;334;356;5ff8;
1e;335;356;659c;
1f;334;358;6b40;
21;333;358;70e4;
22;332;357;768c;
25;334;35d;7c30;
28;333;359;81d4;
2a;335;35d;8778;
2e;334;35b;8d20;
30;333;35d;92c4;
32;333;35b;9868;
35;331;361;9e0c;
39;335;35d;a3b4;
3c;334;35d;a958;
41;333;35f;aefc;
44;331;35f;b4a0;
48;333;35d;ba48;
4c;334;361;bfec;
50;331;362;c590;
54;32f;35f;cb34;
58;32f;35f;d0dc;
5d;32e;35c;d680;
60;32f;35c;dc24;
66;32e;35f;e1c8;
6b;32b;362;e770;
6e;32c;35d;ed14;
74;32b;35f;f2b8;
79;327;35f;f85c;
7c;328;35c;fe04;
81;328;35e;3a8;
85;327;35c;8f8;
8a;324;35c;e48;
8e;322;35b;1398;
93;326;35a;193c;
97;31f;359;1ee0;
9b;31e;35a;2488;
a0;31b;358;2a2c;
a4;31b;355;2fd0;
a8;317;355;3574;
ae;319;354;3b1c;
b1;318;353;40c0;
b5;316;352;4664;
b9;315;350;4c10;
bd;312;34c;51b0;
c0;313;34b;5754;
c4;313;34a;5cf8;
c7;314;348;629c;
ca;30f;34a;6844;
ce;311;344;6de8;
d1;315;344;738c;
d3;314;342;7930;
d5;313;340;7ed8;
d7;314;33c;847c;
da;317;33d;8a20;
dc;315;33c;8fc4;
de;316;337;956c;
e0;313;337;9b10;
e2;313;333;a0b4;
e2;312;331;a658;
e4;312;32e;ac00;
e3;315;32b;b1a4;
e4;311;329;b748;
e5;310;327;bcec;
e5;311;326;c294;
e5;310;322;c838;
e5;30f;323;cddc;
e5;30d;321;d380;
e4;30d;31e;d928;
e2;30d;31d;decc;
e2;30c;31c;e470;
e0;30c;31a;ea14;
df;30a;31a;efbc;
dd;30b;316;f560;
da;30a;318;fb04;
d8;30c;315;a8;
d7;309;313;5a4;
d5;30a;316;af4;
d3;30e;316;1044;
d0;30b;311;15e8;
cd;30e;316;1b90;
ca;30c;314;2134;
c7;309;314;26d8;
c4;30b;316;2c7c;
bf;30b;315;3224;
bc;30a;313;37c8;
b9;309;315;3d6c;
b4;30a;314;4310;
b1;30b;317;48b8;
ad;30a;315;4e5c;
a8;30a;312;5408;
a4;30a;313;59a4;
9f;30b;314;5f4c;
9b;309;315;64f0;
96;30a;314;6a94;
92;30d;314;7038;
8e;30a;316;75e0;
89;309;318;7b84;
84;309;319;8128;
7f;30a;318;86cc;
7b;30b;316;8c74;
76;30a;317;9218;
72;307;319;97bc;
6d;309;319;9d60;
69;309;319;a308;
64;309;31a;a8ac;
5f;30b;31b;ae50;
5b;308;31d;b3f4;
57;30a;321;b99c;
52;30a;31d;bf40;
4e;30b;324;c4e4;
4b;30a;321;ca88;
46;30c;321;d030;
43;30f;326;d5d4;
40;30c;327;db78;
3c;30b;329;e11c;
38;30d;329;e6c4;
36;30f;32e;ec68;
31;312;32f;f20c;
2f;318;331;f7b0;
2c;315;334;fd58;
29;317;338;2fc;
26;319;338;84c;
25;31b;33a;d9c;
22;31c;338;12ec;
20;320;33c;1890;
1f;320;33e;1e34;
1e;324;33e;23dc;
1d;325;343;2980;
1c;327;344;2f24;
1a;32a;344;34c8;
19;328;347;3a70;
19;330;34a;4018;
19;330;34b;45b8;
19;32d;34a;4b5c;
19;32f;34f;5104;
19;334;350;56a8;
19;333;350;5c4c;
1b;331;353;61f0;
1b;334;351;6798;
1c;332;356;6d3c;
1e;331;356;72e0;
1f;334;355;7884;
22;331;358;7e2c;
24;333;35a;83d0;
24;333;359;8974;
27;334;359;8f18;
2a;333;35c;94c0;
2d;332;35b;9a64;
30;333;35b;a010;
33;333;35d;a5ac;
35;333;35f;ab54;
39;333;35f;b0f8;
3d;332;35d;b69c;
40;335;35c;bc40;
44;332;362;c1e8;
48;333;35d;c78c;
4b;334;35f;cd30;
50;331;35f;d2d4;
55;334;35e;d87c;
59;32f;35d;de20;
5e;32d;360;e3c4;
61;32f;360;e968;
65;32c;35f;ef10;
6b;32d;35f;f4b4;
6f;32b;35f;fa58;
73;32c;360;fffc;
78;32a;35e;5a4;
7c;329;35d;af4;
81;323;35c;1044;
85;325;35d;15e8;
8a;322;35e;1b8c;
8f;320;360;2130;
93;320;35a;26d8;
98;31c;35a;2c7c;
9c;31b;359;3220;
a0;31b;358;37c4;
a6;316;355;3d6c;
a9;319;356;4310;
ad;318;353;48b4;
b2;315;351;4e58;
b6;316;353;5400;
b8;314;34f;59a4;
be;315;350;5f48;
c1;31a;34e;64ec;
c4;316;347;6a94;
c7;313;34a;7038;
ca;315;347;75dc;
ce;314;345;7b80;
d0;314;342;8128;
d4;318;33f;86cc;
d6;316;340;8c70;
d9;315;33b;9214;
da;315;338;97bc;
db;313;339;9d60;
df;314;337;a304;
df;312;334;a8a8;
e1;314;333;ae50;
e3;314;331;b3f4;
e4;313;32e;b998;
e3;311;32a;bf3c;
e4;30d;32a;c4e4;
e6;310;329;ca88;
e6;310;328;d02c;
e5;30f;325;d5d0;
e6;30e;322;db78;
e5;30b;31f;e11c;
e4;30d;321;e6c0;
e3;30d;31e;ec64;
e1;30c;31b;f20c;
e0;30d;31b;f7b0;
df;30b;319;fd54;
dc;30b;319;2f8;
db;30b;318;848;
d9;308;318;d98;
d8;30c;315;12e8;
d5;309;316;1890;
d3;309;315;1e34;
d0;307;314;23d8;
ce;307;315;297c;
c9;30a;313;2f24;
c6;30b;315;34c8;
c3;308;313;3a6c;
bf;309;313;4018;
bb;307;313;45b8;
b8;306;313;4b5c;
b5;307;315;5100;
b0;306;313;56a4;
ac;309;315;5c4c;
a7;303;315;61f0;
a4;306;313;6794;
9f;308;313;6d38;
9a;306;312;72e0;
95;308;313;7884;
91;30c;317;7e28;
8d;306;314;83cc;
87;308;316;8974;
84;308;317;8f18;
7f;305;315;94bc;
7b;308;319;9a60;
76;309;318;a00c;
71;309;317;a5ac;
6c;309;319;ab50;
68;307;319;b0f4;
63;307;318;b69c;
5e;308;31b;bc40;
5a;307;31c;c1e4;
56;308;31e;c788;
52;308;320;cd30;
4e;309;322;d2d4;
4a;309;322;d878;
46;308;325;de1c;
43;309;326;e3c4;
3e;30b;328;e968;
3a;30e;329;ef0c;
37;30f;32a;f4b0;
35;30e;32d;fa58;
31;310;330;fffc;
2e;311;330;5a0;
2b;315;331;af0;
29;318;332;1040;
27;31c;336;15e4;
25;31b;338;1b8c;
22;31d;33e;2130;
21;320;33d;26d4;
1f;324;33e;2c78;
1d;323;341;3220;
1c;326;340;37c4;
1b;32a;346;3d68;
1a;32a;345;430c;
19;32c;346;48b4;
18;32e;34b;4e58;
19;332;349;53fc;
18;331;34b;59a0;
19;32e;34e;5f48;
19;333;34d;64ec;
1b;335;34f;6a90;
1b;332;350;7034;
1c;333;353;75dc;
1d;335;354;7b80;
1e;337;357;8124;
20;333;359;86c8;
21;334;359;8c70;
24;336;35a;9214;
26;335;359;97b8;
29;332;35a;9d5c;
2c;333;35c;a304;
2e;333;35f;a8a8;
30;333;35b;ae4c;
33;334;35d;b3f0;
37;333;35c;b998;
3a;334;35d;bf3c;
3d;334;360;c4e0;
41;331;35f;ca84;
45;334;35d;d02c;
48;332;35f;d5d0;
4d;330;35c;db74;
51;333;35e;e118;
55;332;362;e6c0;
5a;32f;35f;ec64;
5e;331;35f;f208;
63;330;35f;f7ac;
67;32f;35d;fd54;
6c;32e;35b;2f8;
6f;32f;361;848;
74;32b;35f;d98;
78;327;35d;12e8;
7d;329;35d;188c;
82;323;35e;1e30;
86;326;35c;23d8;
8a;31f;35d;297c;
8f;31e;35b;2f20;
93;322;359;34c4;
98;31f;357;3a6c;
9d;31e;358;4014;
a1;31a;355;45b4;
a5;31b;358;4b58;
aa;317;356;5100;
ad;319;353;56a4;
b2;318;353;5c48;
b6;315;352;61ec;
ba;317;350;6794;
be;318;34f;6d38;
c1;319;34a;72dc;
c5;316;349;7880;
c8;313;34a;7e28;
cb;316;346;83cc;
cd;316;342;8970;
d0;316;343;8f14;
d4;316;33f;94bc;
d7;316;33d;9a60;
d9;312;33c;a00c;
db;318;33a;a5a8;
dd;318;337;ab50;
df;316;337;b0f4;
e0;314;335;b698;
e2;312;331;bc3c;
e2;311;32e;c1e4;
e4;311;32d;c788;
e3;311;32b;cd2c;
e3;30f;32a;d2d0;
e6;30f;328;d878;
e4;30f;323;de1c;
e5;30e;325;e3c0;
e6;30c;323;e964;
e3;30a;320;ef0c;
e4;30b;31f;f4b0;
e3;309;320;fa54;
e1;307;317;fff8;
e0;309;31b;5a0;
de;308;31a;af0;
dc;305;318;1040;
da;307;317;15e4;
da;308;316;1b88;
d7;306;318;212c;
d4;306;313;26d4;
d2;306;315;2c78;
cf;308;314;321c;
cc;306;314;37c0;
c9;306;315;3d68;
c6;303;314;430c;
c3;306;311;48b0;
bf;309;314;4e54;
bb;307;314;53fc;
b7;308;312;59a0;
b4;303;313;5f44;
b0;306;314;64e8;
aa;304;314;6a90;
a6;304;315;7034;
a3;305;316;75d8;
9e;305;311;7b7c;
9a;306;312;8124;
95;303;313;86c8;
90;306;313;8c6c;
8b;305;313;9210;
88;306;318;97b8;
82;306;313;9d5c;
7e;306;315;a300;
79;306;315;a8a4;
75;306;317;ae4c;
70;307;316;b3f0;
6c;303;318;b994;
66;307;319;bf38;
63;302;319;c4e0;
5e;302;31c;ca84;
59;306;31b;d028;
55;305;31e;d5cc;
51;307;31d;db74;
4d;306;321;e118;
49;306;326;e6bc;
45;308;325;ec60;
41;308;325;f208;
3e;308;328;f7ac;
3a;309;32a;fd50;
36;30c;32b;2f4;
34;310;331;844;
31;30f;32f;d94;
2e;312;333;12e4;
2c;313;334;188c;
29;315;336;1e30;
27;31b;338;23d4;
25;31d;337;2978;
23;31f;33a;2f20;
21;324;33b;34c4;
1f;323;33d;3a68;
1d;32a;343;4014;
1c;328;342;45b4;
1b;32d;343;4b58;
1a;327;344;50fc;
19;32d;347;56a0;
19;32f;347;5c48;
19;330;34e;61ec;
18;332;34d;6790;
19;331;34d;6d34;
19;333;351;72dc;
19;334;350;7880;
1b;334;354;7e24;
1c;331;356;83c8;
1c;332;351;8970;
1f;333;356;8f14;
20;333;357;94b8;
22;332;355;9a5c;
25;334;358;a008;
26;334;35a;a5a8;
29;333;357;ab4c;
2b;335;35b;b0f0;
2e;334;35d;b698;
31;338;35b;bc3c;
34;332;35c;c1e0;
37;333;35c;c784;
3a;332;35e;cd2c;
3e;334;35d;d2d0;
42;332;35d;d874;
46;332;35f;de18;
49;333;360;e3c0;
4e;331;360;e964;
51;331;35f;ef08;
56;331;35f;f4ac;
5a;333;35c;fa54;
5e;330;35f;fff8;
62;32b;35e;59c;
67;32e;35d;aec;
6c;32f;35e;103c;
70;32d;35d;15e0;
75;32b;35e;1b88;
79;329;35e;212c;
7e;327;35c;26d0;
82;325;35e;2c74;
87;325;35b;321c;
8c;321;35a;37c0;
90;31f;359;3d64;
95;320;35c;4308;
9a;31e;358;48b0;
9e;318;359;4e54;
a2;31a;358;53f8;
a6;319;356;599c;
ab;318;354;5f44;
af;316;352;64e8;
b2;315;350;6a8c;
b6;316;352;7030;
bb;313;34f;75d8;
bc;316;34b;7b7c;
c1;315;34c;8120;
c6;319;348;86c4;
c8;314;347;8c6c;
cb;316;346;9210;
cf;316;343;97b4;
d2;315;343;9d58;
d4;315;33f;a300;
d7;314;33e;a8a4;
d9;315;33f;ae48;
db;318;33a;b3ec;
de;314;338;b994;
df;313;335;bf38;
e1;313;334;c4dc;
e2;312;331;ca80;
e2;312;32e;d028;
e4;310;32d;d5cc;
e4;30f;32d;db70;
e4;310;32a;e114;
e5;30d;328;e6bc;
e6;30c;325;ec60;
e5;30e;321;f204;
e5;30a;320;f7a8;
e4;30b;320;fd50;
e2;30a;31d;2f4;
e3;30a;31e;844;
e1;30a;31d;d94;
df;308;319;12e4;
de;305;319;1888;
dc;306;318;1e2c;
db;306;318;23d4;
d9;303;318;2978;
d7;308;315;2f1c;
d5;302;317;34c0;
d2;303;317;3a68;
cf;306;315;4010;
cb;304;312;45b0;
c9;306;316;4b54;
c4;304;312;50fc;
c0;303;311;56a0;
be;307;314;5c44;
bb;304;314;61e8;
b6;307;313;6790;
b2;305;314;6d34;
ae;303;314;72d8;
a9;303;313;787c;
a6;303;317;7e24;
a2;303;316;83c8;
9e;303;313;896c;
98;303;316;8f10;
95;305;315;94b8;
8f;304;315;9a5c;
8b;305;314;a008;
87;304;316;a5a4;
82;308;315;ab4c;
7e;304;316;b0f0;
79;303;318;b694;
74;306;315;bc38;
70;306;317;c1e0;
6b;304;318;c784;
66;306;319;cd28;
62;305;31b;d2cc;
5d;305;31a;d874;
58;305;31b;de18;
55;305;31f;e3bc;
51;303;320;e960;
4c;306;31f;ef08;
49;305;320;f4ac;
44;307;325;fa50;
40;308;324;fff4;
3e;309;328;59c;
3a;30c;329;aec;
37;30c;32b;103c;
33;30e;32d;15e0;
30;310;32e;1b84;
2e;311;331;2128;
2a;316;333;26d0;
29;318;336;2c74;
26;319;337;3218;
24;31d;33a;37bc;
22;31d;33c;3d64;
20;322;33c;4308;
1f;323;33f;48ac;
1d;328;340;4e50;
1c;326;342;53f8;
1a;328;343;599c;
1a;32a;346;5f40;
19;32c;348;64e4;
19;32e;347;6a8c;
19;330;34b;7030;
19;32f;34c;75d4;
18;333;350;7b78;
1a;32c;351;8120;
1a;331;351;86c4;
1a;331;351;8c68;
1c;332;352;920c;
1d;335;354;97b4;
1f;334;355;9d58;
21;333;35b;a2fc;
22;334;359;a8a0;
25;334;358;ae48;
26;331;35a;b3ec;
29;331;359;b990;
2b;333;359;bf34;
2f;331;35c;c4dc;
31;330;35e;ca80;
35;331;35c;d024;
37;333;35d;d5c8;
3b;333;35f;db70;
3f;334;35b;e114;
42;332;360;e6b8;
46;333;35d;ec5c;
4a;332;361;f204;
4e;330;35e;f7a8;
53;332;35f;fd4c;
57;333;35d;2f0;
5a;331;35f;840;
5e;32f;360;d90;
63;330;35d;12e0;
67;32f;35f;1888;
6c;331;360;1e2c;
70;32d;35c;23d0;
75;32b;363;2974;
7a;32c;35d;2f1c;
7f;32a;35e;34c0;
83;325;35e;3a64;
87;327;35d;4010;
8c;324;35b;45b0;
90;31e;35b;4b54;
96;322;35b;50f8;
9a;31c;359;569c;
9e;319;356;5c44;
a3;31f;35b;61e8;
a7;31a;35a;678c;
ac;316;355;6d30;
b0;313;354;72d8;
b3;316;350;787c;
b8;316;353;7e20;
bb;316;34e;83c4;
be;313;34e;896c;
c3;314;34c;8f10;
c5;314;34a;94b4;
c9;314;349;9a58;
cc;312;346;a000;
cf;313;343;a5a4;
d2;316;340;ab48;
d4;313;33f;b0ec;
d8;313;33d;b694;
d9;315;33b;bc38;
da;312;337;c1dc;
de;311;338;c780;
df;314;335;cd28;
e0;316;333;d2cc;
e2;313;331;d870;
e2;314;32f;de14;
e3;310;32f;e3bc;
e4;312;32a;e960;
e5;313;328;ef04;
e6;312;326;f4a8;
e5;313;325;fa50;
e5;312;323;fff4;
e5;311;324;598;
e4;30f;31d;ae8;
e3;310;31e;1038;
e2;30f;31c;15dc;
e1;310;31c;1b84;
e0;30e;31a;2128;
dd;30e;318;26cc;
dc;30d;319;2c70;
da;310;316;3218;
d7;312;315;37bc;
d5;30d;315;3d60;
d3;311;316;4304;
d0;30f;317;48ac;
ce;310;315;4e50;
cb;30e;314;53f4;
c8;310;314;5998;
c5;30f;314;5f40;
c1;311;313;64e4;
bd;312;313;6a88;
b9;30f;316;702c;
b6;310;313;75d4;
b2;312;314;7b78;
ae;30d;315;811c;
aa;30f;314;86c0;
a5;30f;311;8c68;
a1;30c;314;920c;
9c;30e;314;97b0;
97;30d;311;9d54;
94;30f;315;a2fc;
8f;30c;315;a8a0;
89;30d;313;ae44;
85;30f;316;b3e8;
82;30f;317;b990;
7c;310;315;bf34;
78;310;317;c4d8;
74;311;318;ca7c;
6f;30f;318;d024;
6a;30b;31a;d5c8;
66;30e;318;db6c;
61;30e;31b;e110;
5d;30d;31d;e6b8;
58;30f;31b;ec5c;
54;311;31d;f200;
50;30c;321;f7a4;
4c;310;321;fd4c;
48;30f;321;2f0;
44;310;324;840;
41;310;324;d90;
3d;314;326;12e0;
3a;30f;329;1884;
36;310;32c;1e28;
33;314;32d;23d0;
30;313;330;2974;
2d;314;331;2f18;
2a;31a;332;34bc;
29;319;333;3a64;
26;31a;336;400c;
23;31a;338;45ac;
22;31b;33b;4b50;
20;31b;33f;50f8;
1e;321;341;569c;
1d;326;342;5c40;
1c;325;342;61e4;
1b;328;341;678c;
19;32a;348;6d30;
1a;327;347;72d4;
18;32c;349;7878;
17;32c;34b;7e20;
18;32f;34c;83c4;
18;332;34c;8968;
19;331;350;8f0c;
1a;333;34f;94b4;
1b;332;351;9a58;
1c;333;352;9ffc;
1e;332;356;a5a0;
1f;335;355;ab48;
21;333;358;b0ec;
23;333;356;b690;
25;331;355;bc34;
27;336;35b;c1dc;
29;333;35a;c780;
2c;335;359;cd24;
2f;334;35c;d2c8;
32;332;35c;d870;
34;333;35c;de14;
38;335;35d;e3b8;
3c;333;35f;e95c;
3f;337;360;ef04;
43;334;360;f4a8;
47;330;35e;fa4c;
4b;333;361;fff0;
4f;334;360;598;
53;332;35e;ae8;
57;32f;35e;1038;
5b;332;35e;15dc;
60;330;35f;1b80;
64;32f;35d;2124;
68;32f;35f;26cc;
