;04;31a;b1f4;
b1;30c;31f;4b8;
ab;30d;31c;a08;
a4;309;31d;f58;
9d;30d;31f;14a8;
97;30e;31c;1a4c;
8f;30d;319;1ff0;
87;30a;31a;2598;
81;30c;31d;2b3c;
78;30d;31b;30e0;
71;30a;31d;3684;
6a;30b;31b;3c2c;
63;30c;31b;41d0;
5c;30c;31d;4774;
55;309;31b;4d18;
4d;30c;31b;52c0;
48;30b;320;5864;
42;30c;320;5e08;
3b;30e;320;63ac;
37;313;324;6954;
32;311;325;6ef8;
2d;315;325;749c;
28;314;327;7a40;
25;319;32a;7fe8;
21;31c;32d;858c;
1f;31e;32d;8b30;
1c;320;331;90d4;
1a;322;331;967c;
19;324;333;9c20;
19;329;338;a1c4;
18;32d;339;a768;
19;32b;33f;ad10;
1a;32f;33d;b2b4;
1b;331;33f;b858;
1e;335;33f;bdfc;
21;334;345;c3a4;
23;336;344;c948;
26;335;348;ceec;
2a;337;34a;d490;
2e;337;34a;da38;
33;339;34e;dfdc;
39;336;34e;e580;
3e;336;350;eb24;
44;338;34f;f0cc;
4b;336;34f;f670;
51;336;353;fc1c;
58;334;354;1b8;
5f;333;353;708;
66;331;358;c58;
6c;331;359;11a8;
74;32f;358;1750;
7a;32f;354;1cf4;
82;32c;357;2298;
8a;32d;356;283c;
91;32b;356;2de4;
99;325;356;3388;
9f;325;356;392c;
a5;322;357;3ed0;
ad;31f;357;4478;
b3;31f;354;4a1c;
ba;31a;353;4fc0;
bf;316;353;5564;
c5;315;34f;5b0c;
cb;313;350;60b0;
cf;310;34d;6654;
d4;30d;34f;6bf8;
d7;30d;34c;71a0;
db;30f;34a;7744;
de;30c;347;7ce8;
e0;30c;346;828c;
e2;30c;343;8834;
e4;30d;344;8dd8;
e5;30c;340;937c;
e6;30b;33f;9920;
e6;30c;33d;9ec8;
e4;30a;339;a46c;
e3;30c;339;aa10;
e2;311;336;afb4;
df;30e;332;b55c;
dc;30d;330;bb00;
da;30b;32d;c0a4;
d6;30e;32d;c648;
d2;30d;327;cbf0;
cc;30e;328;d194;
c7;30c;327;d738;
c1;30a;324;dcdc;
bb;30a;320;e284;
b5;30b;320;e828;
b0;30b;320;edcc;
a9;309;31e;f370;
a2;30a;31a;f918;
9b;30a;31b;febc;
93;30a;31b;460;
8c;30c;31d;9b0;
86;30b;31c;f00;
7f;30c;31c;1450;
78;30c;31b;19f4;
70;30b;31c;1f9c;
69;30a;31c;2540;
61;30c;31b;2ae4;
5b;30a;31b;3088;
54;30b;31d;3630;
4d;30c;31f;3bd4;
47;309;31d;4178;
41;30d;321;471c;
3b;30d;323;4cc4;
36;30d;324;5268;
30;312;324;5814;
2b;313;32a;5db0;
28;30f;32a;6358;
24;313;32b;68fc;
20;31a;32b;6ea0;
1e;31c;32f;7444;
1c;320;330;79ec;
1a;324;332;7f90;
1a;325;336;8534;
19;326;336;8ad8;
18;32d;339;9080;
19;32b;33d;9624;
1a;330;33d;9bc8;
1b;330;341;a16c;
1e;32f;343;a714;
20;333;345;acb8;
24;336;347;b25c;
28;333;349;b808;
2b;335;34c;bda8;
2f;337;34b;c34c;
35;338;34d;c8f0;
3a;336;34f;ce94;
3f;335;34f;d43c;
45;335;34f;d9e0;
4c;334;354;df84;
53;336;353;e528;
59;337;353;ead0;
60;332;354;f074;
66;331;357;f618;
6f;330;357;fbbc;
76;32f;353;164;
7d;32b;356;6b4;
84;32a;356;c08;
8b;32b;357;1154;
92;326;356;16f8;
99;325;357;1c9c;
a1;320;356;2240;
a8;321;355;27e8;
af;31d;355;2d8c;
b5;316;357;3330;
ba;318;354;38d4;
c1;313;34f;3e7c;
c7;313;353;4420;
cb;315;352;49c4;
cf;30f;34f;4f68;
d4;30e;34e;5510;
d7;311;34b;5ab4;
db;30c;34a;6058;
de;30e;348;65fc;
df;30a;346;6ba4;
e2;30c;346;7148;
e4;30d;344;76ec;
e5;30d;340;7c90;
e6;30a;33f;8238;
e5;30d;33b;87dc;
e3;30a;33a;8d80;
e2;30b;337;9324;
e1;30d;334;98cc;
df;30c;331;9e70;
db;30b;330;a41c;
d9;30a;32a;a9b8;
d4;30b;32b;af60;
d1;30c;328;b504;
cc;309;325;baa8;
c7;30d;324;c04c;
c1;30b;322;c5f4;
bc;30b;325;cb98;
b4;30b;320;d13c;
ae;30e;320;d6e0;
a8;30b;31e;dc88;
a0;30a;31b;e22c;
9a;30a;31b;e7d0;
93;30c;31c;ed74;
8b;30a;31c;f31c;
84;30c;31c;f8c0;
7d;30b;31e;fe64;
75;30c;31d;410;
6e;30b;31c;958;
67;309;31c;ea8;
61;30d;31d;13f8;
5a;308;31d;19a0;
53;30b;31d;1f44;
4b;30e;31b;24e8;
46;30c;321;2a8c;
40;30d;31f;3034;
3a;30f;322;35d8;
35;30f;326;3b7c;
30;310;326;4120;
2b;312;329;46c8;
28;315;32c;4c6c;
24;318;32c;5210;
20;319;32d;57b4;
1e;31b;32f;5d5c;
1c;31e;332;6300;
1a;322;332;68a4;
19;325;337;6e48;
19;327;33c;73f0;
19;32c;338;7994;
19;32e;33a;7f38;
1a;32d;340;84dc;
1c;331;33f;8a84;
1e;334;345;9028;
21;333;348;95cc;
24;335;348;9b70;
28;334;349;a118;
2c;336;349;a6bc;
30;336;34b;ac60;
35;334;34c;b204;
3b;338;34f;b7ac;
3f;337;350;bd50;
47;336;356;c2f4;
4c;335;354;c898;
53;334;354;ce40;
5b;333;356;d3e4;
61;32f;358;d988;
68;330;354;df2c;
70;32d;355;e4d4;
77;32d;356;ea78;
7e;32c;356;f020;
85;32a;359;f5c0;
8d;325;355;fb68;
95;326;359;10c;
9c;326;355;65c;
a2;321;356;bac;
a7;31d;357;10fc;
af;31d;357;16a0;
b6;31a;356;1c44;
bb;316;353;21ec;
c2;314;350;2790;
c7;312;352;2d34;
cc;30f;350;32d8;
d0;310;350;3880;
d5;30f;34d;3e24;
d9;30e;34c;43c8;
dc;30f;349;496c;
de;30c;349;4f14;
e1;30c;345;54b8;
e3;30c;344;5a5c;
e4;30d;33f;6008;
e4;30c;33e;65a8;
e5;30c;33e;6b4c;
e5;30a;33c;70f0;
e3;30c;338;7694;
e2;308;336;7c3c;
e0;30b;336;81e0;
de;30c;32f;8784;
dc;30e;330;8d28;
d8;309;32d;92d0;
d3;30b;32b;9874;
cf;30b;32b;9e18;
cb;30a;327;a3bc;
c5;30c;326;a964;
c0;30c;323;af08;
b9;307;322;b4ac;
b4;30b;31f;ba50;
ae;30d;31e;bff8;
a7;30c;31e;c59c;
a0;30c;31d;cb40;
99;30a;31a;d0e4;
92;309;31c;d68c;
8a;30b;31b;dc30;
83;309;31d;e1d4;
7b;30a;31c;e778;
74;30e;31b;ed20;
6d;30a;31d;f2c4;
65;30b;31e;f868;
5e;30c;31c;fe0c;
57;30b;31e;3b4;
50;30c;31f;904;
4a;30f;31d;e54;
46;30a;31d;13a4;
3f;30d;322;1948;
39;310;323;1eec;
33;30d;323;2490;
2f;30e;326;2a38;
2b;314;329;2fdc;
