;04;31a;b1f4;
7c;307;31b;72f0;
75;306;31c;7894;
6d;309;31a;7e3c;
66;30a;31c;83e0;
5f;304;31b;8984;
58;30a;31f;8f28;
52;304;31d;94d0;
4b;307;31e;9a74;
43;309;320;a020;
3e;309;320;a5bc;
38;308;321;ab64;
33;30d;323;b108;
2f;30e;324;b6ac;
2b;30f;325;bc50;
26;314;328;c1f8;
24;315;32a;c79c;
20;319;32c;cd40;
1d;31c;32d;d2e4;
1c;31b;331;d88c;
1b;322;334;de30;
19;323;333;e3d4;
18;329;337;e978;
18;329;339;ef20;
19;32e;33f;f4c4;
1b;32f;340;fa68;
1b;333;33e;14;
1e;333;33f;508;
21;334;343;a58;
24;334;349;fa8;
27;335;347;14f8;
2b;335;34c;1a9c;
30;333;34c;2044;
36;335;34e;25e8;
3b;335;351;2b8c;
40;338;34f;3130;
46;334;352;36d8;
4c;333;350;3c7c;
52;334;357;4220;
5a;331;354;47c4;
61;330;355;4d6c;
68;32d;356;5310;
6f;32c;354;58b4;
77;32c;355;5e58;
7e;329;355;6400;
84;32a;359;69a4;
8c;325;355;6f48;
95;323;357;74ec;
9b;324;358;7a94;
a2;31f;356;8038;
aa;31a;356;85dc;
b0;318;358;8b80;
b6;316;354;9128;
bc;314;355;96cc;
c3;310;352;9c70;
c7;310;352;a214;
cc;30a;354;a7bc;
d1;30b;34f;ad60;
d5;30a;349;b304;
d9;309;34c;b8a8;
dc;308;34a;be50;
df;30a;345;c3f4;
e0;307;345;c998;
e4;30b;343;cf3c;
e4;30a;341;d4e4;
e4;307;33f;da88;
e4;309;33a;e02c;
e4;307;338;e5d0;
e4;305;337;eb78;
e2;308;335;f11c;
e1;307;332;f6c0;
de;308;331;fc64;
db;30a;32b;20c;
d8;306;328;75c;
d4;305;329;cac;
d0;305;327;11fc;
cb;308;324;17a0;
c6;308;324;1d44;
c0;308;321;22e8;
ba;307;31f;2890;
b5;309;31e;2e34;
ae;306;31b;33d8;
a7;307;31b;397c;
a0;309;318;3f24;
99;307;31a;44c8;
92;308;319;4a6c;
8a;308;31a;5018;
83;306;31a;55b8;
7b;308;319;5b5c;
74;308;319;6100;
6d;307;31b;66a4;
65;308;31c;6c4c;
5e;306;31c;71f0;
58;306;31c;7794;
50;309;31c;7d38;
4a;307;31a;82e0;
44;309;31e;8884;
3e;309;320;8e28;
38;308;321;93cc;
34;310;323;9974;
2e;310;325;9f18;
2a;310;328;a4bc;
26;312;329;aa60;
23;318;32b;b00c;
1f;319;32e;b5ac;
1d;31c;32f;bb50;
1c;31e;331;c0f4;
1b;31f;334;c69c;
19;323;337;cc40;
19;326;338;d1e4;
18;32d;339;d788;
1a;32d;33c;dd30;
1b;32e;341;e2d4;
1d;331;340;e878;
1f;333;344;ee1c;
21;334;344;f3c4;
24;334;348;f968;
29;337;348;ff0c;
2d;336;34a;4b0;
31;335;34e;a00;
35;335;34c;f50;
3b;335;34f;14a0;
41;335;350;1a48;
47;332;355;1fec;
4d;334;355;2590;
55;331;355;2b34;
5a;333;355;30dc;
62;32e;355;3680;
6a;32b;357;3c24;
71;32d;357;41c8;
78;32c;354;4770;
80;329;357;4d14;
87;328;357;52b8;
8e;325;356;585c;
95;324;357;5e04;
9d;31f;358;63a8;
a3;31c;356;694c;
a9;318;358;6ef0;
b1;315;355;7498;
b7;317;355;7a3c;
bd;311;353;7fe0;
c3;316;34f;8584;
c8;30f;351;8b2c;
cd;30b;34f;90d0;
d2;30c;350;9674;
d6;30a;34c;9c20;
da;30c;34c;a1c0;
dd;30b;34a;a764;
df;30b;347;ad08;
e3;307;345;b2ac;
e4;309;342;b854;
e5;308;340;bdf8;
e6;307;33d;c39c;
e5;306;33c;c940;
e5;308;339;cee8;
e4;307;336;d48c;
e2;306;334;da30;
df;307;32e;dfd4;
dd;304;32f;e57c;
da;308;32a;eb20;
d7;306;329;f0c4;
d3;308;328;f668;
ce;307;327;fc14;
c9;306;324;1b4;
c5;307;321;704;
c0;306;31f;c54;
ba;308;31d;11a4;
b4;308;31b;1748;
ac;308;31c;1cec;
a6;308;31c;2294;
9f;307;31a;2838;
98;307;319;2ddc;
91;308;316;3380;
8a;305;31a;3928;
82;305;31a;3ecc;
7b;306;31d;4470;
73;303;318;4a14;
6c;30a;31a;4fbc;
65;308;318;5560;
5e;309;319;5b04;
57;304;319;60a8;
4f;30a;31c;6650;
4a;308;31d;6bf4;
44;308;320;7198;
3c;30b;31e;773c;
37;30a;31f;7ce4;
33;30b;324;8288;
2e;30e;323;882c;
2a;311;327;8dd0;
26;310;329;9378;
22;316;32b;991c;
1f;31a;32a;9ec0;
1d;31e;331;a464;
1a;320;332;aa0c;
1a;320;334;afb0;
19;322;335;b554;
19;328;339;baf8;
19;328;33d;c0a0;
19;32d;33d;c644;
1a;330;33d;cbe8;
1d;334;341;d18c;
1f;332;342;d734;
21;334;343;dcd8;
26;331;347;e27c;
28;332;348;e820;
2d;336;349;edc8;
32;333;34e;f36c;
37;331;34f;f910;
3d;335;34e;feb4;
43;332;350;45c;
49;334;352;9ac;
4f;335;350;efc;
56;331;353;144c;
5b;330;354;19f0;
63;32e;353;1f94;
6a;32c;356;2538;
72;32e;357;2ae0;
79;32a;356;3084;
81;329;357;3628;
87;327;358;3bcc;
8e;326;357;4174;
96;324;357;4718;
9e;324;357;4cbc;
a4;31d;355;5260;
ac;319;356;580c;
b2;316;355;5dac;
b8;314;354;6350;
be;312;353;68f4;
c4;310;351;6e9c;
c9;30f;34f;7440;
cd;30f;351;79e4;
d2;30a;34e;7f88;
d5;30b;34b;8530;
da;30c;34f;8ad4;
dd;307;34a;9078;
e0;309;347;961c;
e2;308;346;9bc4;
e4;306;344;a168;
e5;309;33f;a70c;
e5;306;33d;acb0;
e6;306;33a;b258;
e4;30a;337;b7fc;
e3;306;336;bda0;
e2;30a;333;c344;
df;308;332;c8ec;
dd;304;32e;ce90;
d9;307;32d;d434;
d7;307;32b;d9d8;
d3;308;329;df80;
ce;308;327;e524;
c9;307;321;eac8;
c3;305;320;f06c;
bd;308;31f;f614;
b7;305;31f;fbb8;
b1;307;31d;15c;
aa;305;319;6ac;
a5;306;31c;bfc;
9e;304;31a;114c;
96;306;31e;16f0;
90;308;318;1c98;
88;306;31c;223c;
81;306;318;27e0;
79;307;319;2d84;
72;305;31a;332c;
6b;307;31c;38d0;
64;305;31b;3e74;
5d;304;31e;4420;
56;306;31d;49c0;
4e;306;31d;4f64;
48;308;31d;5508;
43;30a;321;5aac;
3c;30c;322;6054;
37;30d;323;65f8;
32;30b;326;6b9c;
2d;310;325;7140;
29;30f;329;76e8;
24;313;32a;7c8c;
21;317;32a;8230;
1f;31b;32e;87d4;
1d;31e;32b;8d7c;
1b;321;332;9320;
19;320;333;98c4;
1a;325;337;9e68;
19;328;336;a414;
19;32b;33c;a9b4;
1a;32d;33e;af58;
1b;330;33f;b4fc;
1e;331;341;baa4;
20;32f;344;c048;
23;337;345;c5ec;
26;333;345;cb90;
2a;331;34c;d138;
2e;336;34b;d6dc;
33;338;34d;dc80;
39;333;34d;e224;
3e;333;34f;e7cc;
43;334;350;ed70;
4a;331;354;f314;
51;333;351;f8b8;
57;333;353;fe60;
5f;32f;354;408;
65;32d;355;954;
6b;32f;355;ea4;
73;330;358;13f4;
7a;32b;355;1998;
82;32a;355;1f3c;
89;326;358;24e4;
90;326;358;2a88;
97;325;355;302c;
9f;31e;358;35d0;
a5;31b;356;3b78;
ad;31a;356;411c;
b3;312;355;46c0;
ba;315;358;4c64;
bf;30d;34f;520c;
c5;30f;353;57b0;
ca;30e;350;5d54;
cf;30e;34f;62f8;
d3;30e;34c;68a0;
d8;30c;34b;6e44;
d9;30a;34c;73e8;
de;30c;348;798c;
df;30a;346;7f34;
e2;30a;346;84d8;
e3;308;342;8a7c;
e4;308;33e;9020;
e5;309;33e;95c8;
e5;307;33d;9b6c;
e4;30a;33a;a110;
e4;306;337;a6b4;
e2;307;333;ac5c;
df;307;32f;b200;
dd;307;32e;b7a4;
d9;30a;32c;bd48;
d6;306;329;c2f0;
d2;308;327;c894;
cd;305;328;ce38;
c7;307;321;d3dc;
c2;306;321;d984;
bd;307;322;df28;
b7;305;31b;e4cc;
b0;306;31e;ea70;
aa;307;318;f01c;
a3;308;31c;f5bc;
9c;305;31d;fb60;
94;306;319;104;
8d;306;31a;654;
86;307;319;ba4;
7f;303;317;10f4;
78;308;31a;169c;
71;308;317;1c40;
6a;306;31b;21e4;
62;306;31b;2788;
5c;304;31a;2d30;
55;304;31e;32d4;
4d;307;321;3878;
47;309;31f;3e1c;
41;307;31f;43c4;
3b;30c;321;4968;
36;30a;322;4f0c;
32;30d;324;54b0;
2b;30e;325;5a58;
29;30e;326;5ffc;
25;314;327;65a0;
21;317;32a;6b44;
1f;319;32f;70ec;
1d;31f;330;7690;
1a;324;331;7c34;
19;328;333;81d8;
19;325;338;8780;
18;32a;339;8d24;
19;32c;33a;92c8;
1b;330;33c;986c;
1b;331;33d;9e14;
1e;332;343;a3b8;
1f;333;344;a95c;
23;335;345;af00;
27;330;34b;b4a8;
2b;334;34a;ba4c;
2f;336;34c;bff0;
34;333;34c;c594;
39;335;34d;cb3c;
3f;336;34f;d0e0;
45;335;353;d684;
4a;334;354;dc28;
51;332;351;e1d0;
59;331;356;e774;
5f;332;356;ed18;
66;32f;355;f2bc;
6e;32d;356;f864;
75;32b;359;fe08;
7c;32a;355;3ac;
83;328;359;8fc;
8a;326;356;e4c;
91;323;356;139c;
98;323;358;1940;
a0;31f;358;1ee8;
a6;31b;355;248c;
ae;319;355;2a30;
b4;315;356;2fd4;
ba;316;355;357c;
c0;315;352;3b20;
c6;310;354;40c4;
ca;310;350;4668;
d0;30e;34f;4c14;
d4;30d;34e;51b4;
d8;30b;34e;5758;
db;30c;348;5cfc;
de;30b;346;62a4;
e1;30a;344;6848;
e3;30c;342;6dec;
e4;309;33f;7390;
e5;308;33d;7938;
e5;308;33d;7edc;
e5;303;33b;8480;
e4;305;339;8a24;
e2;303;338;8fcc;
e0;305;334;9570;
de;306;331;9b14;
dc;309;32f;a0b8;
d8;308;32b;a660;
d4;305;329;ac08;
d1;306;328;b1a8;
cc;307;328;b74c;
c7;308;325;bcf4;
c1;306;321;c298;
bc;305;320;c83c;
b5;306;31d;cde0;
b0;307;31b;d388;
a9;306;31a;d92c;
a1;306;31b;ded0;
9b;308;319;e474;
94;309;31b;ea1c;
8c;308;319;efc0;
84;304;31c;f564;
7e;306;31d;fb08;
75;306;319;b0;
6f;307;31b;5a8;
68;304;31a;af8;
62;307;31b;1048;
5b;303;31c;15f0;
53;306;31b;1b94;
4c;306;31e;2138;
47;307;31f;26dc;
40;309;320;2c84;
3b;307;320;3228;
36;30b;323;37cc;
31;30e;325;3d70;
2c;30b;325;4318;
28;313;329;48bc;
24;317;32b;4e60;
21;315;32b;540c;
1e;31e;32c;59ac;
1d;320;330;5f50;
1a;321;335;64f4;
19;323;337;6a98;
18;32a;337;7040;
19;329;339;75e4;
18;330;33a;7b88;
19;32e;33a;812c;
1c;330;33d;86d4;
1e;334;342;8c78;
21;332;342;921c;
23;338;347;97c0;
27;334;348;9d68;
2b;333;349;a30c;
2f;333;34b;a8b0;
34;335;34d;ae54;
39;333;34c;b3fc;
3f;331;353;b9a0;
45;335;353;bf44;
4c;335;353;c4e8;
52;334;352;ca90;
59;32f;354;d034;
60;334;355;d5d8;
68;330;359;db7c;
6f;32d;353;e124;
76;32c;359;e6c8;
7e;329;359;ec6c;
84;323;356;f210;
8c;324;355;f7b8;
94;31f;357;fd5c;
9b;320;356;300;
a1;31f;355;850;
a7;31d;355;da0;
ae;317;356;12f0;
b4;317;352;1894;
ba;311;355;1e3c;
c1;310;352;23e0;
c6;310;34f;2984;
cb;310;354;2f28;
d0;30f;352;34d0;
d4;309;34e;3a74;
d8;309;34d;4020;
dc;30d;34a;45bc;
df;30c;349;4b64;
e1;30a;347;5108;
e3;309;345;56ac;
e4;30a;342;5c50;
e5;30b;341;61f8;
e6;306;33d;679c;
e5;306;339;6d40;
e3;306;339;72e4;
e2;305;333;788c;
e1;308;331;7e30;
df;309;32f;83d4;
dc;306;32e;8978;
d9;306;32c;8f20;
d5;306;32a;94c4;
d1;306;327;9a68;
cb;307;327;a014;
c7;305;324;a5b4;
c2;305;320;ab58;
bc;308;322;b0fc;
b4;308;31f;b6a0;
ae;306;31c;bc48;
a8;306;31b;c1ec;
a1;306;31d;c790;
9a;304;31a;cd34;
93;308;317;d2dc;
8c;305;31b;d880;
84;306;31c;de24;
7d;307;31a;e3c8;
75;309;31b;e970;
6e;308;31d;ef14;
67;306;31d;f4b8;
5f;307;31b;fa5c;
59;309;31b;8;
52;308;31c;4a8;
4d;305;31c;9f8;
47;308;31f;f48;
41;30a;31f;1498;
3c;309;31e;1a3c;
36;309;323;1fe4;
31;30e;325;2588;
2c;30f;325;2b2c;
28;311;328;30d0;
24;314;328;3678;
21;315;32c;3c20;
1f;319;32e;41c0;
1c;31e;330;4764;
1a;321;334;4d0c;
1a;325;334;52b0;
19;327;337;5854;
19;32a;33b;5df8;
18;32b;339;63a0;
1b;32f;33d;6944;
1b;333;33f;6ee8;
1e;32f;342;748c;
20;333;343;7a34;
24;332;347;7fd8;
27;333;346;857c;
2b;334;34a;8b20;
30;332;34b;90c8;
35;334;34d;966c;
3a;334;350;9c18;
3f;332;352;a1b4;
45;335;350;a75c;
4b;336;351;ad00;
52;331;357;b2a4;
59;330;354;b848;
5f;32f;352;bdf0;
67;32f;357;c394;
6f;32e;358;c938;
76;32c;352;cedc;
7d;329;355;d484;
85;326;355;da28;
8c;327;355;dfcc;
93;323;357;e570;
9a;31f;356;eb18;
a1;321;355;f0bc;
a9;31c;355;f660;
af;31a;351;fc0c;
b5;316;356;1ac;
bc;315;352;6fc;
c1;30e;351;c4c;
c5;310;351;119c;
cc;30f;34e;1740;
cf;30d;34f;1ce4;
d4;30c;34f;2288;
d8;30c;34d;2830;
da;30c;34d;2dd4;
de;30e;349;3378;
e1;307;348;391c;
e3;307;343;3ec4;
e4;309;343;4468;
e5;30b;33f;4a0c;
e5;307;33d;4fb0;
e4;307;33b;5558;
e4;307;337;5afc;
e3;307;338;60a0;
e1;307;333;6644;
df;306;332;6bec;
db;309;32f;7190;
d8;307;32e;7734;
d4;307;32a;7cd8;
d1;307;328;8280;
ca;307;323;8824;
c6;307;324;8dc8;
c1;30c;324;936c;
bb;305;320;9914;
b5;306;31f;9eb8;
ae;306;31c;a45c;
a8;307;31b;aa00;
a1;309;31d;afa8;
9a;305;31a;b54c;
93;304;319;baf0;
8c;307;31b;c094;
84;30a;319;c63c;
7d;305;31c;cbe0;
76;304;31c;d184;
6e;306;31a;d728;
66;307;319;dcd0;
60;307;319;e274;
59;307;31a;e820;
51;308;31d;edbc;
4c;308;31e;f364;
45;309;320;f908;
3f;30a;320;feac;
39;30a;31f;450;
34;30e;321;9a0;
30;30f;325;ef0;
2b;30e;326;1440;
28;314;328;19e8;
23;313;32b;1f8c;
20;318;32b;2530;
1e;31b;32d;2ad4;
1b;31c;32f;307c;
1a;31f;333;3620;
19;323;335;3bc4;
19;326;333;4168;
19;329;33b;4710;
1a;32b;33d;4cb4;
1b;32e;33d;5258;
1c;331;33f;57fc;
1e;32f;343;5da4;
20;333;342;6348;
24;333;347;68ec;
28;333;349;6e90;
2c;334;349;7438;
31;335;34d;79dc;
35;334;34c;7f80;
3a;338;34e;8524;
41;335;34f;8acc;
47;335;34f;9070;
4c;334;351;9614;
53;331;353;9bb8;
5a;32f;354;a160;
61;330;355;a704;
68;32f;357;aca8;
70;32b;356;b24c;
77;32a;355;b7f4;
7f;32a;357;bd98;
85;326;356;c33c;
8d;326;354;c8e0;
95;322;357;ce88;
9b;323;358;d42c;
a3;31d;354;d9d0;
aa;319;357;df74;
b0;318;353;e51c;
b6;313;354;eac0;
bd;314;355;f064;
c3;312;351;f608;
c8;310;351;fbb0;
cd;30f;351;154;
d0;30d;34c;6a4;
d5;30b;351;bf4;
d8;30b;34c;1144;
db;308;34a;16e8;
df;30b;347;1c8c;
e2;307;346;2234;
e3;306;343;27d8;
e4;309;341;2d7c;
e5;308;33f;3320;
e6;306;33c;38c8;
e5;30b;33a;3e6c;
e4;306;337;4418;
e3;30c;335;49b4;
e0;306;334;4f5c;
df;308;331;5500;
dc;306;32e;5aa4;
d8;308;32a;6048;
d5;308;328;65f0;
d0;308;327;6b94;
cb;308;324;7138;
c5;308;324;76dc;
c1;30b;322;7c84;
bb;307;31f;8228;
b5;309;31c;87cc;
ad;306;31e;8d70;
a6;306;31b;9318;
a1;305;31b;98bc;
99;307;31b;9e60;
92;30a;31b;a40c;
8a;305;317;a9ac;
83;306;31a;af50;
7b;307;319;b4f4;
74;307;31a;ba98;
6d;305;31d;c040;
66;307;31a;c5e4;
5e;306;31d;cb88;
57;307;31c;d12c;
50;308;31c;d6d4;
49;309;321;dc78;
45;30b;31f;e21c;
3e;30c;31b;e7c0;
39;30e;31f;ed68;
34;30d;324;f30c;
2f;30d;325;f8b0;
2b;311;327;fe54;
27;313;329;3fc;
23;316;32c;94c;
20;31a;32e;e9c;
1f;31a;32f;13ec;
1b;31f;331;1990;
1b;321;334;1f34;
1a;324;336;24d8;
18;326;335;2a80;
19;328;33a;3024;
1a;32b;33d;35c8;
1a;330;33d;3b6c;
1c;330;341;4114;
1e;331;346;46b8;
21;334;345;4c5c;
24;334;346;5200;
29;334;349;57a8;
2c;331;34b;5d4c;
30;334;34e;62f0;
36;333;34f;6894;
3b;336;350;6e3c;
41;338;351;73e0;
48;334;352;7984;
4d;334;353;7f28;
54;333;353;84d0;
5c;331;357;8a74;
61;32f;356;9020;
6a;330;357;95bc;
70;330;353;9b64;
78;32a;355;a108;
80;32d;355;a6ac;
87;327;354;ac50;
8e;323;358;b1f8;
96;31e;357;b79c;
9d;31e;355;bd40;
a3;31e;354;c2e4;
ab;319;355;c88c;
b1;31a;354;ce30;
b7;317;356;d3d4;
be;313;358;d978;
c3;310;350;df20;
c8;30e;350;e4c4;
ce;30e;351;ea68;
d2;30d;348;f014;
d6;30d;34e;f5b4;
da;30e;34b;fb58;
dd;30a;34a;fc;
df;306;349;5f8;
e1;30a;343;b48;
e3;309;343;1098;
e5;306;342;163c;
e6;306;340;1be0;
e5;30a;33c;2188;
e5;30a;33a;272c;
e5;305;337;2cd0;
e3;307;334;3274;
e1;300;332;3820;
de;306;32e;3dc0;
db;306;32d;4364;
d8;307;32b;4908;
d3;306;325;4eb0;
ce;306;325;5454;
ca;30a;325;59f8;
c6;307;322;5f9c;
c0;306;323;6544;
ba;304;31f;6ae8;
b4;306;31e;708c;
ad;305;31c;7630;
a6;305;31e;7bd8;
a0;30b;31c;817c;
98;306;31a;8720;
91;304;31b;8cc4;
8a;308;31a;926c;
82;306;31b;9814;
7b;306;31a;9db4;
74;303;318;a358;
6b;306;318;a900;
65;305;31c;aea4;
5e;306;31c;b448;
56;306;31b;b9ec;
50;308;31c;bf94;
4a;308;31e;c538;
43;307;31e;cadc;
3e;30b;320;d080;
39;309;321;d628;
33;30d;323;dbcc;
2e;310;323;e170;
2a;310;328;e714;
25;315;329;ecbc;
22;313;32a;f260;
1f;31c;32b;f80c;
1d;31f;330;fda8;
1b;31e;333;350;
19;325;333;8a0;
19;32a;336;df0;
19;327;33a;1340;
18;32e;33a;18e4;
19;330;33a;1e88;
1b;32f;33f;242c;
1c;332;341;29d4;
1f;334;341;2f78;
22;334;344;351c;
25;333;346;3ac0;
28;336;348;4068;
2d;333;34b;460c;
32;335;34d;4bb0;
36;335;34d;5154;
3c;333;350;56fc;
42;336;351;5ca0;
48;334;350;6244;
4d;334;355;67e8;
55;330;354;6d90;
5b;332;354;7334;
63;334;359;78d8;
6a;32d;356;7e7c;
71;32e;357;8424;
78;32e;357;89c8;
81;329;356;8f6c;
87;327;355;9510;
8f;325;357;9ab8;
96;322;358;a05c;
9e;320;356;a600;
a4;31a;356;aba4;
ab;31a;358;b14c;
b2;317;355;b6f0;
b8;313;357;bc94;
be;310;352;c238;
c4;30d;353;c7e0;
c9;312;352;cd84;
ce;30b;350;d328;
d3;30c;34d;d8cc;
d7;30b;34d;de74;
db;30b;34b;e41c;
dd;30c;347;e9bc;
e0;30a;345;ef60;
e1;308;345;f508;
e4;309;342;faac;
e4;30c;341;50;
e5;307;33f;54c;
e5;305;33a;a9c;
e5;309;33a;fec;
e4;308;338;153c;
e2;307;336;1ae0;
e1;309;333;2084;
dd;305;331;262c;
db;305;32c;2bd0;
d8;308;32a;3174;
d3;30c;328;3718;
cf;308;326;3cc0;
ca;307;323;4264;
c5;307;321;4810;
c0;308;320;4dac;
b9;308;320;5354;
b3;308;31e;58f8;
ad;308;31b;5e9c;
a6;30a;31b;6440;
9f;306;31a;69e8;
98;30a;31a;6f8c;
91;307;31a;7530;
8a;308;31a;7ad4;
82;309;31a;807c;
7b;306;319;8620;
74;305;31b;8bc4;
6c;303;31b;9168;
64;30c;318;9710;
5e;308;31d;9cb4;
57;30a;31a;a258;
4f;309;31b;a7fc;
4a;306;31d;ada4;
43;30a;320;b348;
3d;308;31f;b8ec;
37;30c;322;be90;
32;30d;321;c438;
2d;310;323;c9dc;
29;311;328;cf80;
26;312;32a;d524;
22;316;32b;dacc;
1f;318;32c;e070;
1d;31a;330;e614;
1b;320;331;ebb8;
1a;321;334;f160;
19;322;335;f704;
18;325;337;fca8;
1a;32a;338;24c;
19;32e;339;79c;
1b;32c;340;cec;
1d;330;341;123c;
1f;331;343;17e4;
21;334;343;1d88;
25;337;346;232c;
28;335;34a;28d0;
2d;338;349;2e78;
32;333;34e;3420;
37;335;34e;39c0;
3c;336;350;3f64;
42;335;352;450c;
49;335;356;4ab0;
4e;336;355;5054;
55;331;351;55f8;
5c;32f;353;5ba0;
63;331;354;6144;
6a;32d;356;66e8;
72;32f;356;6c8c;
79;32e;358;7234;
80;329;356;77d8;
88;327;35a;7d7c;
8f;327;358;8320;
96;321;357;88c8;
9d;321;359;8e6c;
a4;31b;356;9418;
ac;31b;357;99b4;
b2;315;354;9f5c;
b8;312;353;a500;
be;312;351;aaa4;
c3;30e;351;b048;
ca;310;350;b5f0;
cf;30d;351;bb94;
d3;30b;34c;c138;
d7;30b;34c;c6dc;
db;30b;34a;cc84;
dd;309;347;d228;
e0;309;346;d7cc;
e2;30a;345;dd70;
e4;308;345;e318;
e4;309;340;e8bc;
e6;309;33e;ee60;
e5;307;33a;f40c;
e4;308;338;f9ac;
e3;308;335;ff50;
e2;30a;332;4f4;
e0;308;332;a44;
dd;30a;32f;f94;
db;309;32c;14e4;
d7;306;32c;1a88;
d4;308;326;2030;
cf;309;324;25d4;
ca;307;323;2b78;
c5;306;324;311c;
bf;308;31e;36c4;
b9;307;31d;3c68;
b2;308;31e;420c;
ac;309;31a;47b0;
a5;306;31a;4d58;
9e;305;31c;52fc;
97;306;319;58a0;
8f;307;319;5e44;
89;305;31a;63ec;
81;308;31b;6990;
79;307;316;6f34;
71;308;31a;74d8;
6b;305;31c;7a80;
63;308;31a;8024;
5d;308;31d;85c8;
56;308;31d;8b6c;
4f;30a;31e;9114;
49;308;31f;96b8;
43;30b;31f;9c5c;
3c;308;320;a200;
37;308;323;a7a8;
32;30e;325;ad4c;
2d;310;323;b2f0;
2a;312;327;b894;
25;311;329;be3c;
22;317;32b;c3e0;
20;318;32e;c984;
1d;31d;330;cf28;
1b;322;330;d4d0;
1a;321;334;da74;
19;328;336;e020;
18;327;339;e5bc;
19;32b;33a;eb64;
1a;32e;33d;f108;
1b;330;33d;f6ac;
1c;333;345;fc50;
20;333;344;1f8;
22;331;347;748;
25;333;349;c98;
29;337;349;11e8;
2d;333;34a;178c;
32;338;34b;1d30;
38;332;34d;22d4;
3d;334;350;287c;
43;336;352;2e20;
49;32f;351;33c4;
4f;334;354;3968;
56;332;354;3f10;
5e;330;354;44b4;
64;330;357;4a58;
6b;32f;356;4ffc;
73;32d;355;55a4;
7b;32c;355;5b48;
81;329;359;60ec;
89;324;357;6690;
90;322;353;6c38;
98;31f;356;71dc;
9f;31e;355;7780;
a5;31a;355;7d24;
ac;317;356;82cc;
b3;316;355;8870;
b9;314;354;8e14;
bf;312;354;93b8;
c4;311;34f;9960;
ca;30e;351;9f04;
cf;30e;350;a4a8;
d3;310;34f;aa4c;
d7;30b;34c;aff4;
db;30b;34c;b598;
de;30b;348;bb3c;
e0;30b;348;c0e0;
e3;307;345;c688;
e4;308;342;cc2c;
e5;30a;341;d1d0;
e6;308;33f;d774;
e4;30b;33a;dd1c;
e3;307;335;e2c0;
e3;305;337;e864;
e2;305;335;ee08;
e0;308;334;f3b0;
dd;308;330;f954;
d9;307;32c;fef8;
d6;308;329;49c;
d2;308;327;9ec;
ce;305;325;f3c;
c8;307;321;148c;
c4;309;31f;1a34;
be;304;322;1fd8;
b7;307;31b;257c;
b2;309;31d;2b20;
aa;304;31c;30c8;
a3;308;319;366c;
9d;305;31a;3c18;
96;306;318;41b4;
8e;308;31a;475c;
87;304;31b;4d00;
80;306;31b;52a4;
78;308;31a;5848;
70;309;318;5df0;
69;305;31c;6394;
62;306;319;6938;
5c;307;31a;6edc;
55;309;31c;7484;
4e;307;31d;7a28;
47;307;31e;7fcc;
42;309;320;8570;
3b;30c;321;8b18;
36;30c;321;90bc;
32;30c;325;9660;
2c;313;322;9c0c;
28;30e;326;a1ac;
25;316;32b;a750;
21;315;32c;acf4;
1e;31b;330;b298;
1c;31b;32f;b840;
1a;324;32f;bde4;
1a;322;331;c388;
19;322;338;c92c;
18;32a;338;ced4;
19;32a;33d;d478;
1b;32f;33d;da1c;
1c;32f;343;dfc0;
1d;32e;347;e568;
20;330;341;eb0c;
23;334;345;f0b0;
27;331;347;f654;
2a;335;349;fbfc;
2f;336;34b;1a0;
34;334;34d;6f0;
38;335;350;c40;
3e;334;350;1190;
44;333;352;1734;
4a;335;34f;1cd8;
4f;334;353;2280;
58;333;355;2824;
5e;331;357;2dc8;
65;332;354;336c;
6d;331;356;3914;
74;32d;35a;3eb8;
7b;32b;356;445c;
83;32a;35a;4a00;
8a;324;358;4fa8;
91;324;355;554c;
98;322;358;5af0;
a0;31f;357;6094;
a7;31b;355;663c;
ad;316;357;6be0;
b4;316;358;7184;
ba;315;355;7728;
c1;314;354;7cd0;
c5;312;356;8274;
ca;30f;351;8820;
cf;30c;34e;8dbc;
d4;30a;34d;9364;
d8;307;34c;9908;
dc;30b;34c;9eac;
de;307;34a;a450;
e0;309;345;a9f8;
e3;307;344;af9c;
e4;305;340;b540;
e5;30a;33e;bae4;
e5;308;33e;c08c;
e4;308;339;c630;
e4;30b;337;cbd4;
e3;307;335;d178;
e1;306;333;d720;
df;307;32e;dcc4;
dc;306;32f;e268;
d9;309;32d;e814;
d4;307;32c;edb4;
d1;307;327;f358;
cc;308;324;f8fc;
c8;306;324;fea0;
c2;308;321;448;
bb;307;31d;998;
b6;306;31e;ee8;
b1;307;31d;1438;
aa;30a;31c;19dc;
a3;307;31b;1f80;
9c;308;319;2524;
95;307;315;2acc;
8d;306;319;3070;
86;305;317;3614;
7e;305;31b;3bb8;
77;30a;319;4160;
70;308;31b;4704;
69;305;319;4ca8;
61;306;318;524c;
5a;307;31e;57f4;
54;308;31d;5d98;
4d;30b;31a;633c;
46;307;31e;68e0;
41;30a;31f;6e88;
3b;30c;321;742c;
35;30f;323;79d0;
31;30e;322;7f74;
2b;310;327;851c;
28;30f;32b;8ac0;
24;313;32c;9064;
21;31a;32c;9608;
1e;319;32d;9bb0;
1c;31d;331;a154;
1b;324;332;a6f8;
1a;324;336;ac9c;
19;325;337;b244;
19;32a;339;b7e8;
1a;32c;33b;bd8c;
1a;32d;33f;c330;
1b;334;341;c8d8;
1d;32e;343;ce7c;
