d2f4;315;e700;
6f;326;359;87e4;
71;325;35a;8d88;
73;322;35a;9330;
74;324;359;98d4;
76;326;356;9e78;
78;324;359;a420;
79;324;356;a9c4;
7a;324;35a;af68;
7c;323;356;b50c;
7c;322;356;bab4;
7e;320;354;c058;
80;31f;352;c5fc;
82;321;34f;cba0;
83;31f;353;d144;
84;320;34e;d6ec;
86;31e;34d;dc90;
88;31c;350;e234;
89;31a;34e;e7d8;
8b;31b;34d;ed80;
8b;319;34b;f324;
8c;316;34c;f8c8;
8f;317;349;fe6c;
91;315;349;418;
91;318;349;964;
93;317;347;eb4;
94;314;349;1408;
96;314;348;19a8;
97;313;345;1f4c;
98;314;344;24f0;
9a;314;345;2a98;
9b;314;342;303c;
9c;314;342;35e0;
9e;314;344;3b88;
9f;312;33e;412c;
a1;311;340;46d0;
a3;312;340;4c74;
a3;310;33e;5218;
a5;310;33e;57c0;
a6;312;33e;5d64;
a9;310;33d;6308;
a9;30e;33a;68ac;
ab;310;339;6e54;
ac;30f;335;73f8;
ad;30e;337;799c;
ad;30d;336;7f44;
b0;30f;337;84e8;
b1;30e;336;8a8c;
b2;30c;336;9030;
b4;30d;335;95d4;
b5;30e;337;9b7c;
b6;30d;336;a120;
b7;30d;334;a6c4;
ba;30a;336;ac68;
ba;30d;334;b210;
bb;30e;332;b7b4;
bd;30c;334;bd58;
be;30b;333;c300;
bf;30e;330;c8a4;
c0;310;332;ce48;
c2;30a;32f;d3ec;
c3;30e;32f;d990;
c4;30d;331;df38;
c5;30d;32e;e4dc;
c6;30c;32e;ea80;
c7;30c;32c;f024;
c7;30c;32a;f5cc;
c8;30c;328;fb70;
cb;30c;329;114;
cb;30a;326;664;
cb;30a;329;bb4;
cc;30a;326;1104;
cd;309;325;16a8;
cf;30c;321;1c50;
cf;309;323;21f4;
d0;30a;326;2798;
d1;30b;321;2d3c;
d2;309;322;32e4;
d2;307;31f;3888;
d3;308;31f;3e2c;
d4;305;320;43d0;
d5;308;31e;4978;
d5;30b;31d;4f1c;
d6;30b;31d;54c0;
d7;306;31e;5a64;
d8;30a;31b;6010;
da;30b;31b;65b0;
da;30b;31c;6b54;
d9;307;31a;70fc;
da;306;31b;76a0;
dc;30a;31a;7c44;
dc;309;319;81e8;
dd;30c;31a;878c;
dd;30a;318;8d34;
df;307;315;92d8;
df;308;317;987c;
