;345;2700;
9e;34c;d0;
c9;338;32b;899c;
cb;338;32d;8f40;
cb;333;329;94e4;
cd;337;329;9a88;
cc;336;328;a030;
d0;336;329;a5d4;
d0;337;328;ab78;
d1;335;327;b11c;
d2;338;324;b6c4;
d2;339;325;bc68;
d5;338;327;c20c;
d6;335;325;c7b0;
d7;337;325;cd54;
d8;338;324;d2fc;
d8;335;324;d8a0;
da;336;321;de44;
db;337;322;e3e8;
dc;337;31f;e990;
db;337;31f;ef34;
dd;337;320;f4d8;
dd;339;31f;fa80;
de;337;31c;24;
de;337;31a;520;
e0;335;31b;a6c;
df;336;31a;fc0;
e1;336;319;1510;
e0;337;317;1ab4;
e2;335;319;2058;
e1;337;314;25fc;
e3;338;316;2ba4;
e3;336;316;3148;
e3;337;315;36ec;
e3;338;316;3c90;
e5;339;314;4234;
e5;337;312;47dc;
e5;337;314;4d80;
e3;333;312;5324;
e5;337;312;58cc;
e4;338;313;5e70;
e5;337;310;641c;
e6;338;312;69b8;
e5;338;311;6f60;
e6;338;312;7504;
e6;33a;30f;7aa8;
e5;338;311;804c;
e6;338;30f;85f4;
e5;337;311;8b98;
e5;338;30f;913c;
e4;338;310;96e0;
e5;338;311;9c88;
e4;337;30f;a22c;
e4;339;30f;a7d0;
e3;337;30f;ad74;
e4;338;30f;b31c;
e3;337;30e;b8c0;
e3;337;30f;be64;
e2;336;310;c410;
e1;336;30e;c9b0;
e1;337;30e;cf54;
e1;338;311;d4f8;
e0;335;30f;da9c;
df;338;30f;e044;
de;336;310;e5e8;
de;335;30e;eb8c;
dd;337;310;f130;
dd;337;311;f6d8;
db;335;310;fc7c;
db;338;311;220;
db;335;30e;770;
da;338;311;cc0;
d9;337;30f;1210;
d7;336;30f;17b4;
d6;338;310;1d5c;
d6;336;310;2300;
d4;338;310;28a4;
d4;336;310;2e48;
d3;337;30d;33f0;
d1;338;30f;3994;
d1;335;310;3f38;
cf;337;30e;44dc;
ce;335;30f;4a84;
ce;333;310;5028;
cc;335;30e;55cc;
ca;336;30f;5b70;
ca;337;30f;6118;
c9;338;30f;66bc;
c6;338;311;6c60;
c5;334;30e;7204;
c3;338;30d;77ac;
c2;337;310;7d50;
c2;337;313;82f4;
c0;336;30f;8898;
be;338;312;8e40;
bd;336;311;93e4;
bb;338;30d;9988;
ba;338;310;9f2c;
b8;338;310;a4d4;
b7;337;30f;aa78;
b5;335;30d;b020;
b4;336;30f;b5c0;
b3;337;30f;bb68;
b1;337;30e;c10c;
af;336;30e;c6b0;
ae;338;310;cc54;
ac;335;30f;d1fc;
aa;333;310;d7a0;
a9;338;30d;dd44;
a6;339;30f;e2e8;
a5;335;30f;e890;
a2;336;30f;ee34;
a1;336;30f;f3d8;
a0;336;30e;f97c;
9d;339;30e;ff24;
9b;336;311;4c8;
99;336;30d;a18;
98;335;310;f68;
97;338;314;14b8;
95;334;311;1a5c;
93;335;311;2008;
91;338;312;25a8;
8f;335;310;2b4c;
8e;335;314;30f0;
8b;338;311;3694;
8b;337;310;3c3c;
88;337;311;41e0;
86;336;312;4784;
84;335;311;4d28;
83;338;311;52d0;
80;338;316;5874;
7f;339;314;5e18;
7d;339;313;63bc;
7b;334;314;6964;
79;338;317;6f08;
78;336;315;74ac;
76;338;316;7a50;
74;335;318;7ff4;
72;337;319;859c;
70;336;31a;8b40;
6f;336;31b;90e4;
6c;337;31b;968c;
6a;338;31b;9c30;
69;336;31e;a1d4;
67;337;321;a778;
64;336;322;ad20;
64;335;324;b2c4;
62;337;322;b868;
60;336;324;be0c;
5e;335;325;c3b4;
5d;337;323;c958;
5b;335;329;cefc;
59;336;32a;d4a0;
57;337;32a;da44;
55;335;32b;dfec;
54;335;32e;e590;
52;337;32b;eb34;
51;335;32f;f0dc;
4f;337;330;f680;
4d;335;32f;fc24;
4b;336;331;1c8;
4a;336;334;718;
48;335;334;c68;
47;337;335;11b8;
46;337;336;1760;
44;339;339;1d04;
42;336;337;22a8;
41;337;339;284c;
3f;338;33b;2df4;
3e;336;33b;3398;
3d;337;33a;393c;
3b;336;339;3ee0;
3a;337;33b;4488;
39;335;341;4a2c;
37;337;33f;4fd0;
36;338;343;5574;
35;335;33f;5b1c;
32;337;342;60c0;
32;335;342;6664;
31;337;341;6c10;
30;337;345;71b0;
2f;333;343;7754;
2e;333;344;7cf8;
2c;336;345;829c;
2b;335;347;8844;
2b;335;348;8de8;
29;338;346;938c;
28;338;347;9930;
27;335;34a;9ed4;
27;336;348;a47c;
26;336;349;aa20;
24;334;34c;afc4;
23;336;34c;b56c;
23;335;34b;bb10;
22;334;34c;c0b4;
21;337;349;c658;
21;339;34e;cbfc;
20;336;34f;d1a4;
1f;337;34d;d748;
1e;338;34e;dcec;
1e;337;350;e290;
1d;337;350;e838;
1b;336;351;eddc;
1c;335;351;f380;
1c;336;353;f928;
1b;333;353;fecc;
1b;339;352;470;
1a;336;355;9c0;
1a;337;354;f10;
1a;335;354;1460;
19;336;355;1a04;
19;336;357;1fac;
1a;336;357;2550;
19;338;357;2af4;
1a;338;359;3098;
1a;338;359;363c;
18;336;357;3be4;
18;336;35b;4188;
19;335;359;472c;
19;336;35a;4cd4;
19;335;359;5278;
19;335;35b;5820;
19;335;35c;5dc0;
18;338;357;6368;
1a;337;359;690c;
1a;336;35c;6eb0;
1a;336;35b;7454;
1a;333;35b;79fc;
1b;339;35b;7fa0;
1b;337;35b;8544;
1b;335;35c;8ae8;
1c;338;35e;9090;
1c;336;359;9634;
1c;336;35c;9bd8;
1d;337;35b;a17c;
1e;338;35c;a720;
1f;339;35b;acc8;
1f;336;35b;b26c;
20;333;35c;b818;
20;335;35e;bdb4;
21;338;35a;c35c;
21;337;35b;c900;
22;335;35f;cea4;
23;335;35b;d44c;
23;338;35b;d9f0;
25;337;360;df94;
26;33a;35d;e538;
27;336;35d;eadc;
28;336;35c;f084;
28;333;35a;f628;
2a;336;35b;fbcc;
2b;336;359;174;
2c;335;35e;6c4;
2c;336;35f;c18;
2f;336;35c;1164;
2e;337;35c;1708;
30;336;35e;1cac;
32;336;35c;2250;
33;336;35d;27f8;
34;335;35d;2d9c;
35;335;35c;3340;
36;337;35b;38e4;
38;335;360;3e8c;
38;337;360;4430;
3b;336;35b;49d4;
3c;337;35b;4f78;
3e;336;359;5520;
3f;335;35f;5ac4;
40;337;35d;6068;
42;337;35e;660c;
43;338;35d;6bb4;
45;338;35b;7158;
46;337;35f;76fc;
47;335;35f;7ca0;
49;338;35b;8248;
4a;338;35c;87ec;
4c;336;35d;8d90;
4e;336;35e;9334;
50;336;35c;98dc;
51;336;35a;9e80;
53;337;35c;a424;
54;336;35c;a9c8;
57;336;35c;af6c;
58;337;35d;b514;
5a;337;360;bab8;
5c;337;35c;c05c;
5d;338;35b;c604;
5f;335;35c;cba8;
61;336;35b;d14c;
63;338;35a;d6f0;
65;337;35c;dc98;
66;337;35b;e23c;
68;336;359;e7e0;
6a;337;35b;ed84;
6b;335;35a;f32c;
6e;33a;35a;f8d0;
70;337;35a;fe74;
71;337;359;420;
73;33a;357;968;
75;336;358;eb8;
76;338;357;1410;
78;335;359;19b0;
7a;338;356;1f54;
7c;336;352;24f8;
7e;338;355;2a9c;
80;338;352;3044;
81;339;353;35e8;
84;337;34f;3b8c;
86;335;350;4130;
87;338;34d;46d8;
89;338;34f;4c7c;
8b;335;34e;5220;
8d;339;34e;57c4;
8f;337;34e;5d6c;
90;338;34f;6310;
92;339;34c;68b4;
94;338;349;6e58;
96;337;34a;73fc;
98;339;349;79a4;
9a;338;348;7f48;
9b;337;349;84ec;
9c;337;347;8a94;
9e;335;348;9038;
a1;337;347;95dc;
a2;337;345;9b80;
a3;338;343;a128;
a5;336;342;a6cc;
a8;338;341;ac70;
a9;337;340;b214;
ab;338;33c;b7bc;
ad;337;33e;bd60;
af;338;33b;c304;
b0;338;33d;c8a8;
b2;338;33d;ce50;
b3;338;33d;d3f4;
b4;339;33c;d998;
b7;337;337;df3c;
b7;339;337;e4e0;
b9;335;335;ea88;
bb;338;335;f02c;
bc;337;333;f5d0;
bd;338;333;fb78;
bf;338;331;11c;
c1;338;332;66c;
c2;33b;333;bbc;
c3;339;32f;110c;
c5;337;330;16b0;
c6;338;32e;1c54;
c7;337;32e;21fc;
c8;338;32e;27a0;
ca;336;32c;2d44;
cb;338;32d;32e8;
cd;338;32e;3890;
ce;338;328;3e34;
cf;338;327;43d8;
d0;337;328;497c;
d0;336;326;4f24;
d2;33a;326;54c8;
d3;337;325;5a6c;
d4;339;326;6018;
d5;339;327;65b8;
d6;337;324;6b5c;
d8;337;326;7100;
d8;337;322;76a4;
d9;338;321;7c4c;
db;337;322;81f0;
da;33a;31f;8794;
da;336;320;8d38;
dc;339;31e;92e0;
dd;338;31b;9884;
de;338;31c;9e28;
de;337;31c;a3cc;
dd;337;31b;a970;
df;33a;31a;af18;
e0;338;317;b4bc;
e0;338;318;ba60;
e0;335;315;c00c;
e2;33b;317;c5ac;
e2;337;315;cb50;
e3;337;317;d0f4;
e3;335;314;d69c;
e3;337;315;dc40;
e4;338;313;e1e4;
e4;338;313;e788;
e5;336;311;ed30;
e5;339;312;f2d4;
e5;338;311;f878;
e4;336;310;fe1c;
e5;338;310;3c4;
e4;336;310;914;
e5;337;312;e60;
e5;336;311;13b0;
e4;336;310;1958;
e4;337;313;1efc;
e4;335;314;24a0;
e5;336;30f;2a48;
e4;337;30c;2fec;
e5;337;310;3590;
e4;336;30f;3b34;
e4;337;30f;40dc;
e4;336;311;4680;
e4;337;30e;4c24;
e3;335;310;51c8;
e3;336;30f;5770;
e2;336;30e;5d14;
e2;338;311;62b8;
e1;336;310;685c;
e2;338;30f;6e00;
e1;337;30f;73a8;
e0;338;310;794c;
df;337;310;7ef0;
df;338;30f;8498;
de;337;30f;8a3c;
dd;336;310;8fe0;
dd;338;30e;9584;
dc;337;312;9b2c;
db;336;310;a0d0;
db;338;30d;a674;
da;338;30f;ac20;
d9;336;30e;b1c0;
d8;337;30f;b764;
d6;336;30f;bd08;
d5;336;30f;c2ac;
d5;338;30f;c850;
d3;338;310;cdf8;
d3;336;30f;d39c;
d1;337;313;d940;
d1;338;312;dee8;
cf;337;30f;e48c;
cf;338;310;ea30;
cd;337;310;efd4;
cc;336;310;f57c;
cb;338;30f;fb20;
c9;336;30f;c4;
c8;33a;30f;5c0;
c7;337;310;b10;
c5;336;30f;1060;
c5;337;30e;1604;
c3;338;310;1ba8;
c2;336;30f;214c;
c1;33a;30f;26f4;
be;336;310;2c98;
be;335;310;323c;
bc;338;311;37e4;
ba;336;30f;3d88;
b9;336;30e;432c;
b8;337;310;48d0;
b5;336;310;4e78;
b4;336;30f;5420;
b3;337;310;59c0;
b0;335;30f;5f64;
af;338;30e;650c;
ad;335;311;6ab0;
ac;336;310;7054;
ab;336;311;75f8;
a8;337;311;7b9c;
a7;338;311;8144;
a5;335;30f;86e8;
a4;337;30d;8c8c;
a1;338;310;9230;
a0;334;313;97d8;
9f;336;311;9d7c;
9c;339;313;a320;
9b;336;30d;a8c8;
99;335;310;ae6c;
98;338;311;b418;
96;335;310;b9b4;
93;336;310;bf58;
92;336;315;c500;
90;337;310;caa4;
8e;336;310;d048;
8d;338;311;d5f0;
8a;333;30e;db94;
88;337;30f;e138;
87;337;313;e6dc;
84;335;310;ec80;
83;336;311;f228;
81;338;313;f7cc;
7f;336;313;fd70;
7e;338;313;318;
7c;333;315;864;
7a;335;315;db4;
78;337;313;1308;
76;336;317;18ac;
75;335;318;1e50;
73;336;317;23f4;
71;335;31a;299c;
6f;334;317;2f40;
6d;337;31d;34e4;
6b;337;31d;3a88;
6a;337;31f;4030;
68;336;31e;45d4;
66;337;321;4b78;
65;337;322;511c;
62;336;323;56c4;
61;336;324;5c68;
5f;337;326;620c;
5e;33a;329;67b0;
5a;336;327;6d58;
5a;335;328;72fc;
58;337;329;78a0;
56;338;32b;7e44;
54;336;329;83ec;
53;336;32a;8990;
51;335;330;8f34;
50;333;331;94d8;
4e;336;331;9a80;
4d;334;333;a024;
4b;335;334;a5c8;
48;335;330;ab6c;
47;336;334;b114;
46;335;336;b6b8;
44;334;338;bc5c;
43;337;337;c200;
42;336;339;c7a8;
40;336;338;cd4c;
3e;336;33a;d2f0;
3e;336;33a;d894;
3b;337;33d;de3c;
3a;336;33e;e3e0;
39;337;33e;e984;
38;336;340;ef28;
36;338;341;f4d0;
35;337;340;fa74;
32;335;343;20;
32;335;341;514;
32;337;343;a64;
30;334;343;fb4;
2f;337;341;1504;
2e;338;343;1aa8;
2c;336;346;204c;
2b;336;34a;25f0;
2b;336;346;2b98;
2a;336;347;313c;
28;337;349;36e0;
27;337;349;3c88;
26;337;349;422c;
26;337;348;47d0;
24;334;34a;4d74;
23;333;34b;531c;
24;337;34c;58c0;
22;338;34e;5e64;
22;336;34c;6410;
21;335;34d;69b0;
21;334;34f;6f54;
20;336;350;74f8;
1f;337;34d;7a9c;
1e;338;34f;8044;
1d;334;34f;85e8;
1d;335;350;8b8c;
1c;336;34e;9130;
1d;337;351;96d8;
1b;338;351;9c7c;
1b;338;353;a220;
1b;335;353;a7c4;
1a;337;353;ad6c;
1a;335;354;b310;
1a;337;355;b8b4;
1a;339;354;be58;
1a;339;358;c400;
19;336;359;c9a4;
19;33a;356;cf48;
18;335;357;d4ec;
19;337;359;da94;
18;339;358;e038;
19;338;35b;e5dc;
18;335;35c;eb80;
18;335;359;f128;
19;331;35b;f6cc;
1a;335;35c;fc70;
19;337;35a;214;
19;336;35c;764;
19;334;35a;cb4;
19;336;358;1204;
1a;337;35c;17ac;
1a;333;35c;1d50;
19;338;359;22f4;
1b;334;35d;2898;
1c;335;35c;2e40;
1b;338;35a;33e4;
1c;335;35d;3988;
1d;337;35d;3f2c;
1d;335;35b;44d4;
1d;338;35b;4a78;
1f;335;35c;5020;
1f;337;35c;55c0;
1f;336;35c;5b68;
21;338;35e;610c;
21;338;359;66b0;
22;335;35c;6c54;
23;33a;35d;71fc;
24;337;359;77a0;
24;336;35f;7d44;
26;337;360;82e8;
27;336;35b;8890;
27;336;35d;8e34;
28;333;35c;93d8;
28;336;35b;997c;
2a;335;35f;9f24;
2b;337;35a;a4c8;
2d;336;35a;aa6c;
2d;338;35b;b018;
2f;339;360;b5b4;
30;336;35d;bb5c;
31;33a;35d;c100;
32;335;35c;c6a4;
33;335;35b;cc48;
34;336;35c;d1f0;
36;335;35e;d794;
38;339;35a;dd38;
39;334;35b;e2e0;
39;333;35a;e884;
3b;336;35c;ee28;
3d;338;35e;f3cc;
3e;333;35b;f974;
40;336;35b;ff18;
41;338;35d;4bc;
42;336;35d;a0c;
44;338;35e;f5c;
45;33a;35b;14ac;
48;337;360;1a50;
48;339;35d;1ff4;
4a;338;35d;259c;
4c;332;35e;2b40;
4d;33a;35c;30e4;
4f;337;35b;368c;
51;335;35c;3c30;
52;336;35c;41d4;
53;339;35c;4778;
56;335;35c;4d1c;
57;338;35d;52c4;
59;33a;35b;5868;
5c;339;360;5e0c;
5c;337;35d;63b4;
5e;337;35d;6958;
60;336;35e;6efc;
61;335;35d;74a0;
64;338;35b;7a48;
66;335;35e;7fec;
68;335;35b;8590;
69;334;359;8b34;
6a;333;35e;90dc;
6d;336;35c;9680;
6e;338;358;9c24;
71;336;359;a1c8;
73;33a;359;a770;
73;338;358;ad14;
76;334;35a;b2b8;
78;336;355;b85c;
7a;336;356;be04;
7c;338;353;c3a8;
7d;337;355;c94c;
7f;335;352;cef0;
81;335;352;d498;
83;337;34f;da3c;
85;337;34f;dfe0;
87;338;351;e584;
88;338;34d;eb2c;
8a;335;34f;f0d0;
8c;336;34e;f674;
8e;337;34e;fc20;
90;339;34f;1c0;
92;337;34b;70c;
93;335;34c;c60;
95;337;34a;11ac;
97;337;34a;1754;
99;337;349;1cf8;
9a;338;346;229c;
9c;333;346;2840;
9e;339;347;2de8;
a0;338;345;338c;
a1;336;345;3930;
a3;337;341;3ed8;
a5;335;342;447c;
a7;335;341;4a20;
a9;336;33e;4fc4;
aa;338;342;556c;
ac;338;342;5b10;
ae;338;33c;60b4;
af;33a;33a;6658;
b1;338;33c;6bfc;
b3;339;338;71a4;
b4;338;33b;7748;
b6;337;338;7cec;
b7;337;338;8290;
b8;338;339;8838;
bb;337;336;8ddc;
bc;338;336;9380;
bd;338;336;9928;
bf;336;334;9ecc;
c0;337;333;a470;
c1;337;331;aa14;
c3;33b;32e;afbc;
c5;337;333;b560;
c6;338;32f;bb04;
c6;335;32e;c0a8;
c8;338;32c;c64c;
c9;336;32c;cbf4;
cb;334;32b;d198;
cc;338;32a;d73c;
cd;338;32a;dce0;
ce;335;327;e288;
d0;335;327;e82c;
d0;338;328;edd0;
d2;337;328;f378;
d3;338;325;f91c;
d4;336;327;fec0;
d4;335;328;464;
d6;338;328;9b4;
d7;337;324;f04;
d7;338;324;1454;
d7;33a;322;19fc;
da;338;325;1fa0;
d9;338;321;2544;
db;338;320;2ae8;
dc;338;320;308c;
dd;337;31f;3634;
de;33a;31d;3bd8;
de;339;31c;417c;
de;338;318;4720;
e0;336;31a;4cc8;
e0;336;318;526c;
e1;339;316;5818;
e1;337;319;5db4;
e2;337;318;635c;
e2;337;319;6900;
e2;337;314;6ea4;
e1;337;316;744c;
e3;337;314;79f0;
e3;338;313;7f94;
e4;33a;315;8538;
e4;336;312;8adc;
e4;338;312;9084;
e4;338;313;9628;
e5;33a;312;9bcc;
e4;338;314;a174;
e6;338;313;a718;
e6;337;313;acbc;
e5;336;310;b260;
e5;335;30f;b80c;
e5;338;311;bdac;
e5;338;312;c350;
e6;33b;30d;c8f4;
e5;339;311;ce9c;
e4;33a;311;d440;
e5;338;311;d9e4;
e5;337;30e;df88;
e4;336;30e;e530;
e4;338;310;ead4;
e3;336;311;f078;
e4;338;30d;f61c;
e3;338;30d;fbc4;
e3;337;313;168;
e2;338;312;6b8;
e2;337;30f;c0c;
e1;337;30e;1158;
e1;338;310;16fc;
e0;338;30d;1ca0;
df;337;310;2244;
dd;335;30d;27ec;
dd;336;310;2d90;
dd;337;310;3334;
dc;338;311;38d8;
dc;338;30d;3e80;
db;337;310;4424;
d9;335;30f;49c8;
d9;337;30f;4f70;
d8;33a;311;5514;
d8;33a;310;5ab8;
d7;338;312;605c;
d6;336;30e;6604;
d4;337;30f;6ba8;
d4;336;30e;714c;
d3;337;310;76f0;
d2;338;30e;7c94;
d0;338;311;823c;
d0;339;313;87e0;
ce;336;310;8d84;
cd;336;311;932c;
cb;33a;310;98d0;
cb;337;30e;9e74;
c9;338;310;a420;
c8;335;311;a9c0;
c5;336;30e;af64;
c5;338;310;b508;
c4;337;30f;baac;
c2;338;310;c054;
c1;337;310;c5f8;
bf;335;311;cb9c;
be;33b;30d;d140;
bd;336;315;d6e4;
bb;337;310;dc8c;
ba;335;310;e230;
b8;335;310;e7d4;
b6;337;30c;ed7c;
b5;338;30f;f320;
b4;335;313;f8c4;
b2;338;310;fe68;
b0;338;30d;414;
ae;336;310;960;
ac;338;30f;eb0;
ab;338;310;1400;
aa;338;310;19a4;
a8;337;311;1f48;
a5;338;30d;24ec;
a4;337;310;2a94;
a3;335;310;3038;
a1;337;30f;35dc;
9f;337;30f;3b80;
9e;335;30f;4124;
9c;335;30f;46cc;
9a;338;310;4c70;
98;337;30e;5214;
96;33a;311;57bc;
95;336;313;5d60;
93;337;311;6304;
91;337;310;68a8;
8f;337;310;6e4c;
8e;333;310;73f4;
8c;337;30f;7998;
8a;337;310;7f3c;
88;337;310;84e4;
86;337;313;8a88;
83;336;313;902c;
82;333;314;95d0;
81;338;311;9b74;
7f;338;315;a11c;
7d;337;316;a6c0;
7b;338;314;ac64;
79;333;316;b20c;
77;338;316;b7b0;
75;337;316;bd54;
73;335;318;c2f8;
71;335;31a;c8a0;
6f;337;319;ce44;
6e;338;31b;d3e8;
6d;336;31e;d98c;
6a;335;31b;df34;
68;338;320;e4d8;
67;336;320;ea7c;
65;337;323;f020;
63;338;325;f5c8;
62;337;324;fb6c;
60;337;324;110;
5e;333;326;660;
5b;339;329;bb0;
5b;336;328;1100;
59;338;32a;16a4;
57;334;32b;1c4c;
55;33b;32b;21f0;
54;336;32e;2794;
52;337;32f;2d38;
50;337;32f;32dc;
4f;336;331;3884;
4d;333;331;3e28;
4b;337;330;43cc;
4a;334;334;4970;
49;334;334;4f18;
46;336;335;54bc;
45;337;337;5a60;
44;335;334;600c;
41;336;338;65ac;
40;338;337;6b50;
40;339;33a;70f4;
3e;337;33b;769c;
3c;33a;33b;7c40;
3b;336;33c;81e4;
3a;337;33f;8788;
37;338;33e;8d30;
37;334;340;92d4;
35;336;340;9878;
35;336;342;9e1c;
34;336;340;a3c4;
32;336;341;a968;
31;338;341;af0c;
30;335;344;b4b0;
2e;337;345;ba54;
2d;332;346;bffc;
2c;335;346;c5a0;
2b;337;347;cb44;
29;334;346;d0ec;
29;335;348;d690;
27;336;343;dc34;
27;336;349;e1d8;
27;335;34a;e780;
25;337;349;ed24;
23;336;34b;f2c8;
23;333;34c;f86c;
22;336;34c;fe10;
21;335;34c;3b8;
20;335;34d;908;
20;339;34b;e58;
20;338;34e;13a8;
20;335;34e;194c;
1f;337;34e;1ef0;
1e;338;350;2494;
1e;336;350;2a3c;
1d;337;350;2fe0;
1c;337;352;3584;
1c;337;350;3b2c;
1c;337;352;40d0;
1b;338;355;4674;
1b;337;351;4c20;
1a;336;353;51bc;
1b;334;357;5764;
1a;336;356;5d08;
19;336;357;62ac;
19;336;357;6854;
19;337;358;6df8;
18;339;358;739c;
19;334;357;7940;
19;337;35a;7ee8;
18;338;35a;848c;
18;336;35a;8a30;
19;337;35a;8fd4;
19;337;35b;957c;
18;339;35c;9b20;
1a;338;35c;a0c4;
19;337;35b;a668;
1a;335;35c;ac14;
1a;336;35c;b1b4;
1a;337;35a;b758;
1a;337;35b;bcfc;
1a;337;359;c2a4;
1c;337;35c;c848;
1c;336;35f;cdec;
1c;336;35c;d390;
1c;336;35c;d938;
1c;334;35d;dedc;
1e;336;35e;e480;
1d;336;35b;ea24;
1e;334;35c;efcc;
20;335;35c;f570;
1f;335;35b;fb14;
20;339;35b;b8;
21;338;35f;5b4;
21;337;35d;b04;
22;335;35f;1054;
24;33a;35c;15f8;
25;33a;35b;1ba0;
25;337;35c;2144;
26;337;35c;26e8;
27;336;35a;2c8c;
27;333;35a;3230;
29;337;35b;37d8;
2a;335;35d;3d7c;
2b;334;35e;4320;
2c;335;35d;48c8;
2d;336;35c;4e6c;
2e;336;35d;5418;
2f;339;35f;59b4;
30;332;35c;5f5c;
32;334;35a;6500;
33;338;35b;6aa4;
34;336;35b;7048;
36;334;360;75f0;
37;336;35b;7b94;
38;338;35e;8138;
3a;334;360;86dc;
3a;335;35f;8c84;
3b;336;35c;9228;
3d;336;35c;97cc;
3f;337;35d;9d70;
40;338;35d;a318;
42;337;35e;a8bc;
44;337;35e;ae60;
45;335;35d;b40c;
46;336;35b;b9ac;
48;337;35c;bf50;
4a;338;35e;c4f4;
4b;335;35c;ca98;
4d;337;35c;d040;
4e;338;35b;d5e4;
50;334;35e;db88;
52;339;35c;e12c;
54;335;35f;e6d0;
55;335;35e;ec78;
57;336;35b;f21c;
58;336;35b;f7c0;
5b;335;35d;fd68;
5c;337;35a;30c;
5d;336;35e;85c;
5f;336;35c;dac;
60;337;35c;12fc;
62;336;35e;18a0;
65;337;35c;1e44;
66;337;35f;23e8;
68;336;35c;2990;
6a;335;35c;2f34;
6c;337;359;34d8;
6e;336;35d;3a7c;
70;333;35a;4024;
72;337;359;45c8;
73;338;357;4b6c;
75;337;355;5114;
77;338;355;56b8;
79;338;356;5c5c;
7b;336;356;6200;
7d;337;355;67a8;
7e;338;355;6d4c;
80;336;352;72f0;
82;337;351;7894;
84;33b;351;7e3c;
85;335;350;83e0;
86;335;34d;8984;
89;337;34e;8f28;
8b;336;34f;94cc;
8d;335;34d;9a74;
8e;334;34c;a020;
91;337;34d;a5bc;
92;33a;34c;ab64;
94;336;34b;b108;
96;336;34a;b6ac;
98;337;348;bc50;
9a;336;348;c1f8;
9a;335;34a;c79c;
9e;338;347;cd40;
9e;336;346;d2e4;
a1;337;344;d88c;
a2;335;344;de30;
a5;337;341;e3d4;
a6;336;341;e978;
a8;338;340;ef20;
aa;338;33f;f4c4;
ab;337;33e;fa68;
ac;338;33e;14;
ae;336;33b;508;
b0;336;33a;a58;
b1;336;33a;fa8;
b3;33b;339;14f8;
b5;338;339;1a9c;
b5;336;334;2044;
b8;338;336;25e8;
b9;338;335;2b8c;
ba;337;337;3130;
bd;336;335;36d8;
be;339;333;3c7c;
bf;336;334;4220;
c0;336;330;47c4;
c1;336;330;4d6c;
c3;337;331;5310;
c5;338;32d;58b4;
c6;336;32c;5e58;
c7;338;32d;6400;
c9;336;32c;69a4;
ca;338;32c;6f48;
cc;338;32c;74ec;
cd;338;32b;7a94;
ce;337;32a;8038;
cf;334;329;85dc;
cf;336;329;8b80;
d2;338;325;9128;
d3;336;328;96cc;
d4;335;328;9c70;
d4;338;327;a214;
d5;336;325;a7bc;
d7;336;325;ad60;
d8;338;325;b304;
d8;336;323;b8a8;
d8;337;322;be50;
da;338;324;c3f4;
db;335;31f;c998;
db;337;31f;cf3c;
dd;338;31e;d4e0;
de;336;31b;da88;
dd;337;31b;e02c;
de;338;31f;e5d0;
df;336;31b;eb78;
e0;337;31b;f11c;
df;33a;31a;f6c0;
e1;337;31a;fc64;
e0;337;316;20c;
e2;338;315;75c;
e1;338;316;cac;
e2;335;315;11fc;
e3;338;317;17a0;
e3;336;313;1d44;
e3;337;313;22e8;
e3;337;313;2890;
e3;33a;310;2e34;
e4;338;313;33d8;
e5;338;311;397c;
e4;335;311;3f24;
e5;33b;312;44c8;
e6;337;314;4a6c;
e5;338;311;5018;
e5;336;312;55b8;
e5;339;311;5b5c;
e6;336;310;6100;
e5;336;30c;66a4;
e4;338;30f;6c4c;
e5;33a;30f;71f0;
e5;335;311;7794;
e3;337;30f;7d38;
e4;335;30f;82e0;
e3;338;30d;8884;
e4;336;310;8e28;
e4;336;30f;93cc;
e2;335;30f;9974;
e2;33a;30f;9f18;
e2;338;30f;a4bc;
e1;337;310;aa60;
e0;336;30e;b00c;
e1;335;310;b5ac;
df;339;311;bb50;
de;337;30f;c0f4;
de;336;30f;c69c;
df;335;311;cc40;
dd;338;30f;d1e4;
dd;336;30e;d788;
dd;337;310;dd30;
dc;337;311;e2d4;
da;337;30f;e878;
da;337;30f;ee1c;
d8;33a;310;f3c0;
d8;337;30f;f968;
d6;335;311;ff0c;
d6;338;311;4b0;
d6;338;311;a00;
d4;338;310;f50;
d2;336;30d;14a0;
d2;336;310;1a48;
cf;339;30f;1fec;
cf;338;30f;2590;
cf;336;30e;2b34;
cc;336;30f;30dc;
cc;338;313;3680;
ca;336;30e;3c24;
ca;338;30f;41c8;
c9;336;30f;4770;
c8;336;310;4d14;
c5;33a;30f;52b8;
c4;337;310;585c;
c3;338;311;5e04;
c1;337;310;63a8;
c1;335;310;694c;
be;335;30f;6ef0;
be;337;30e;7498;
bc;338;311;7a3c;
ba;337;30f;7fe0;
ba;339;30e;8584;
b8;335;30f;8b28;
b5;333;310;90d0;
b5;338;30d;9674;
b3;335;310;9c20;
b1;336;30f;a1bc;
b0;339;30f;a764;
ae;336;311;ad08;
ab;335;30c;b2ac;
aa;335;30f;b850;
a8;335;310;bdf8;
a7;336;30e;c39c;
a6;337;310;c940;
a3;337;30e;cee8;
a2;338;313;d48c;
a0;335;30f;da30;
9d;334;30f;dfd4;
9c;339;30d;e578;
9b;336;311;eb20;
98;337;30e;f0c4;
98;336;311;f668;
95;337;30e;fc14;
93;337;30f;1b4;
92;337;310;704;
90;335;30f;c54;
8e;337;310;11a4;
8d;335;312;1748;
